Time,Fluorescence_Corrected_Z,Speed,Events,UV,Fluorescence,Fluorescence_Debleached,UV_Debleached,Fluorescence_Corrected,UV_Fitted_to_Fluo
100.097348,3.3094266285449283,,,94.655,57.493,-0.591640155592188,-0.12046041114399486,-0.6011534496794456,0.009513294087257698
100.19735,3.042967787906531,,,94.891,57.408,-0.6764919487746397,0.1159207957308439,-0.6673284666527246,-0.00916348212191505
100.297342,2.603198069573895,,,94.886,57.299,-0.7853437589613321,0.11130196295266614,-0.7765452166215855,-0.008798542339746605
100.397346,2.276869319810244,,,94.706,57.232,-0.8521955535479222,-0.06831682561502816,-0.8575889174150756,0.0053933638671534185
100.49733900000001,0.4820535865061365,,,94.302,56.818,-1.2660473666202918,-0.47193565764739276,-1.303331161623401,0.03728379500310918
100.597336,0.36870592862285906,,,94.108,56.805,-1.2788991759485953,-0.6655544759650809,-1.3314810371026176,0.0525818611540222
100.697334,-0.5269121799314033,,,94.113,56.582,-1.501750985978802,-0.6601732920039751,-1.5539076730256662,0.0521566870468641
100.797332,0.060472183108811015,,,94.337,56.71,-1.3736027981928416,-0.4357921095759849,-1.4080308460421909,0.03442804784934923
100.89733,-0.07974008108271607,,,94.337,56.675,-1.408454612590674,-0.4354109286811507,-1.4428525428585026,0.03439793026782847
100.997328,-1.5004724582685751,,,94.071,56.343,-1.7403064291722785,-0.7010297493194457,-1.795691236254864,0.05538480708258547
101.097323,-0.7454435280636094,,,94.341,56.509,-1.5741582523831141,-0.43064858292639485,-1.6081799037281457,0.034021651345031635
101.197323,-0.12177111174894582,,,94.755,56.631,-1.452010070368452,-0.016267399007205086,-1.4532909436301877,0.001280873261735715
101.297315,-0.24203985521562033,,,94.843,56.594,-1.4888619023918466,0.07211375288427746,-1.4831596697763874,-0.005702232615459244
101.397316,-0.63027990371679,,,94.962,56.488,-1.5947137232627213,0.191494937549038,-1.5795790332237316,-0.015134690038989687
101.49731600000001,0.6244543235622426,,,94.765,56.815,-1.2675655477990517,-0.005123883131162188,-1.2679659578676605,0.00040041006860878995
101.597313,0.38382726356292945,,,94.5,56.776,-1.3064173789641984,-0.26974271677983097,-1.3277256556188568,0.0213082766546583
101.697306,0.1585493277529754,,,94.587,56.713,-1.36926921823963,-0.18236156720858787,-1.3836734004570919,0.014404182217461845
101.797304,0.027662715051140055,,,94.591,56.68,-1.4021210522899281,-0.17798040011156502,-1.4161790729893577,0.014058020699429607
101.897299,-0.2718327554176446,,,94.508,56.612,-1.4699728929686557,-0.26059924598278883,-1.4905587325052825,0.020585839536626818
101.99730000000001,1.2130704205857987,,,94.794,56.958,-1.1238247269408674,0.025781929483272847,-1.1217832299162949,-0.0020414970245725365
102.097292,1.153885434401094,,,95.074,56.921,-1.1606765764311078,0.30616306911095137,-1.1364818132170125,-0.02419476321409537
102.197292,1.9104365944354715,,,95.083,57.108,-0.9735284162517033,0.3155442376991573,-0.9485924351183881,-0.024935981133315212
102.297288,2.038423935537812,,,95.116,57.137,-0.9443802641819801,0.3489253895076274,-0.9168067962950697,-0.027573467886910348
102.397286,1.6066174648353875,,,95.174,57.025,-1.0562321113323563,0.4073065474064066,-1.024045874793811,-0.032186236538545236
102.497287,1.679446663546878,,,94.983,57.058,-1.0230839562213987,0.2166877152070441,-1.0059587531605545,-0.017125203060844092
102.59728299999999,0.9733876565746029,,,94.546,56.917,-1.1639358107013038,-0.21993113758354355,-1.1813084118867734,0.017372601185469502
102.697277,2.12815400863138,,,94.174,57.233,-0.8477876703272713,-0.5915499995302866,-0.8945223447987182,0.04673467447144683
102.797278,3.5843440841632606,,,94.471,57.571,-0.5096395217659762,-0.29416883632879376,-0.5328777368218545,0.023238215055878288
102.89727400000001,3.0205447222944057,,,94.671,57.415,-0.6654913827951106,-0.09378769371829776,-0.6728972319596676,0.00740584916455698
102.997271,3.139465762341838,,,94.473,57.46,-0.620343244525813,-0.2914065488291726,-0.6433632077750528,0.0230199632492398
103.09727000000001,2.588848980084553,,,94.841,57.294,-0.7861951054767289,0.07697460215005947,-0.7801088110522799,-0.006086294424449
103.19726399999999,3.2021743450144515,,,94.577,57.467,-0.613046976017543,-0.18664426746136087,-0.6277895397639323,0.014742563746389232
103.297265,3.4283493381991836,,,94.868,57.5,-0.5798988383717045,0.10473688807493886,-0.5716190108482025,-0.008279827523501938
103.397257,2.817903451010253,,,94.567,57.372,-0.7077507162408949,-0.19588199222529568,-0.7232231642296862,0.015472447988791365
103.49726,2.7442748088803723,,,94.308,57.374,-0.7056025799983345,-0.45450083213204096,-0.7415088275275931,0.035906247529258535
103.597251,5.180603574334719,,,94.547,57.96,-0.11945446371429824,-0.21511971930948448,-0.13644690869555265,0.016992444981254393
103.697255,7.574371204414692,,,94.513,58.557,0.47769366964364934,-0.2487385584708477,0.45804495793235234,0.019648711711297003
103.79725199999999,8.632767105046923,,,94.357,58.832,0.7528417904498426,-0.40435742584537593,0.7208974364651819,0.0319443539846607
103.897243,8.49779501644329,,,94.133,58.816,0.7369899001860034,-0.6279763176213322,0.6873771365461955,0.04961276363980793
103.99723900000001,9.127094222160714,,,94.59,58.936,0.8571380151457291,-0.17059519187299088,0.8436635090300245,0.013474506115704592
104.09724,8.651600449120421,,,94.941,58.79,0.7112861353287272,0.18078595139938614,0.7255746949143341,-0.014288559585606896
104.19723699999999,7.574807343885972,,,94.617,58.548,0.4694342474043225,-0.14283292210673437,0.4581532731109577,0.011280974293364754
104.29723200000001,7.532714022905458,,,94.609,58.538,0.4595823543350761,-0.15045180476847975,0.44769940254815915,0.011882951786916977
104.39722900000001,6.608323884400831,,,94.397,58.325,0.24673046204559768,-0.3620706813403416,0.21812723688490973,0.028603225160687945
104.497227,6.345196250505892,,,94.403,58.259,0.18087856905468414,-0.3556895556337736,0.15277952465506353,0.028099044399620614
104.59722199999999,6.049040163631883,,,94.533,58.175,0.09702666943805838,-0.22530844289404683,0.07922920060248909,0.017797468835569298
104.69722,5.7449109140394,,,94.562,58.097,0.0191747720822093,-0.195927320253233,0.0036987426689680785,0.015476029413241223
104.797219,5.2851856760586875,,,94.836,57.961,-0.11667712597506608,0.07845380466595486,-0.11047395790096162,-0.0062031680741044554
104.897214,4.93749007851825,,,94.804,57.877,-0.20052903213880313,0.04683491280718499,-0.19682411244508266,-0.003704919693720465
104.997206,5.646775956414347,,,94.791,58.054,-0.02338094492773024,0.03421600798185409,-0.020673060762102097,-0.0027078841656281425
105.097208,6.226415163435235,,,94.978,58.183,0.10576715491083633,0.22159713973617556,0.12328025777327066,-0.017513102862434335
105.197205,5.76151157486582,,,94.894,58.074,-0.0030847548377721523,0.13797825090141203,0.007821514536188236,-0.010906269373960388
105.29719899999999,4.644023342436852,,,94.961,57.791,-0.2859366712113456,0.20535934910020615,-0.2697065365926599,-0.01623013461868567
105.39719899999999,4.286176422430058,,,95.011,57.698,-0.3787885808816398,0.25574046863339106,-0.3585777706960208,-0.02021081018561897
105.497191,3.305909940259705,,,95.079,57.449,-0.6276405045812012,0.3241215561442914,-0.6020268187386475,-0.0256136858425538
105.59719100000001,3.435618362541828,,,94.801,57.503,-0.5734924186158636,0.04650267261179408,-0.5698137496374984,-0.0036786689783651896
105.697186,2.8606854362320076,,,94.561,57.379,-0.6973443422369101,-0.19311623150932178,-0.7125982639958742,0.015253921758964149
105.797182,2.381116014349654,,,94.722,57.247,-0.8291962665591157,-0.03173513335205769,-0.8316992649493297,0.0025029983902139273
105.897177,0.7888994780518916,,,94.727,56.851,-1.2250481945440796,-0.026354040538649315,-1.2271260260288297,0.002077831484749948
105.997174,1.4647996298017538,,,94.685,57.022,-1.053900121749436,-0.06797294163580148,-1.0592663149112407,0.005366193161804844
