time,zscore,fluorescence,isobestic,ToneStart,PelletGrab
0.0,1.3192384180514136,419.455,471.654,0,0
0.099997,1.0150249964102662,415.683,466.883,0,0
0.200003,0.6762019813478155,411.467,462.546,0,0
0.299999,0.4140794242261416,408.221,457.697,0,0
0.39999799999999996,0.20070515218317825,405.379,455.864,0,0
0.499999,0.04072883272544345,403.279,452.653,0,0
0.599997,-0.03678307072839849,402.078,451.129,0,0
0.700001,-0.150523080408613,400.564,447.683,0,0
0.8,-0.1574827800324621,400.235,446.073,0,0
0.8999969999999999,-0.21573101819997093,399.359,443.334,0,0
1.000001,-0.1917476771528769,399.349,442.749,0,0
1.100001,-0.20424706699786932,399.016,440.347,0,0
1.200003,-0.33266734080476246,397.21,439.001,0,0
1.3000019999999999,-0.33850466258609935,396.901,437.616,0,0
1.4000029999999999,-0.11154226898988899,399.39,436.801,0,0
1.499997,0.24660766783943147,403.543,434.972,0,0
1.600001,0.5214756289689251,406.653,433.678,0,0
1.700002,1.0515479603398843,412.804,433.411,0,0
1.799998,1.138481726267385,413.561,433.298,0,0
1.900002,1.2164425184848509,414.253,432.555,0,0
1.999997,1.1194607055348498,412.748,432.962,0,0
2.100002,0.953540043267085,410.531,431.456,0,0
2.1999989999999996,0.8317161928994723,408.747,431.617,0,0
2.2999989999999997,0.6373022922453022,406.034,432.558,0,0
2.399997,0.40647532410066417,402.928,432.778,0,0
2.500001,0.21927567165047795,400.474,431.155,0,0
2.6,0.20764428753378017,400.015,431.766,0,0
2.699998,0.15213479491615509,399.073,431.642,0,0
2.799997,0.15494009154396512,398.848,431.446,0,0
2.899998,0.18809734459539879,399.009,431.037,0,0
2.999996,0.05510498778144847,397.145,430.755,0,0
3.0999969999999997,-0.16527378650362776,394.225,430.422,0,0
3.2,-0.3183731076634996,392.227,428.516,0,0
3.3000010000000004,-0.3921712616104662,391.146,427.396,0,0
3.4,-0.48404639959628176,389.753,427.764,0,0
3.499997,-0.5149676268652392,389.124,427.823,0,0
3.5999969999999997,-0.5751427516168687,388.197,427.029,0,0
3.7,-0.5831131777761204,387.87,426.824,0,0
3.8000030000000002,-0.5965879871014835,387.416,427.603,0,0
3.9000019999999997,-0.6970096101470208,385.993,427.052,0,0
4.0,-0.6734942082622244,386.07,426.654,0,0
4.099997,-0.4875239739998195,387.907,429.66,0,0
4.199999,-0.36258818879034693,389.274,428.463,0,0
4.300002999999999,-0.2372115450204704,390.513,429.391,0,0
4.399997999999999,-0.28062447243093214,389.778,429.141,0,0
4.499998,-0.16169200100564426,390.737,433.302,0,0
4.6,-0.27895171866453927,389.438,427.925,0,0
4.7000020000000005,-0.2963664170371085,389.049,427.334,0,0
4.799996,-0.27259110204622905,389.099,427.749,0,0
4.900002000000001,-0.26274917192527825,389.055,427.027,0,0
4.9999970000000005,-0.3147767269136484,388.212,427.075,0,0
5.100002000000001,-0.31221037307539995,388.031,427.19,0,0
5.2,-0.3631721988597077,387.179,427.659,0,0
5.299999,-0.4020957188579296,386.521,427.423,0,0
5.400002000000001,-0.4466915061182901,385.816,426.882,0,0
5.5,-0.4712101036579788,385.234,428.269,0,0
5.599997,-0.5164652369871894,384.484,428.38,0,0
5.700001,-0.5280960810534998,384.126,428.79,0,0
5.8,-0.5560321869724785,383.643,428.093,0,0
5.900002000000001,-0.6228703502720275,382.624,428.415,0,0
5.999998,-0.670368075725298,381.94,427.214,0,0
6.100003,-0.7108410282988583,381.267,427.209,0,0
6.200001,-0.703196754941749,381.204,426.849,0,0
6.299997,-0.7105376965182285,380.972,426.317,0,0
6.4,-0.5509738108680505,382.691,427.041,0,0
6.500001,-0.6457507703586398,381.391,426.652,0,0
6.600002000000001,-0.6844013330343512,380.734,426.911,0,0
6.700003,-0.7409727725914901,379.882,426.845,0,0
6.800001,-0.801574435213679,378.953,427.248,0,0
6.899996,-0.7149345664851019,379.787,428.108,0,0
7.0,-0.7373970527386152,379.388,427.539,0,0
7.1,-0.8215692272016372,378.129,428.713,0,0
7.199999,-0.7664552330676515,378.666,428.318,0,0
7.300001,-0.713396671455642,379.137,428.593,0,0
7.400002000000001,-0.6459144867229599,379.838,428.045,0,0
7.5000029999999995,-0.43372187868130574,382.268,428.002,0,0
7.600001,-0.09836863164493005,386.197,427.964,0,0
7.7000020000000005,0.1858466265752825,389.565,427.006,0,0
7.800001,0.35146833622529244,391.401,427.482,0,0
7.900002000000001,0.4609865194289521,392.602,427.25,0,0
7.999998,0.3694092899472908,391.325,427.56,0,0
8.099997,0.2670725274268069,389.976,426.979,0,0
8.200002,0.1507443999016276,388.419,427.016,0,0
8.300001,0.02053238878967799,386.694,427.067,0,0
8.400003,-0.07554290727340228,385.356,427.582,0,0
8.500003000000001,-0.21577841613718543,383.532,427.328,0,0
8.599997,-0.1663513836256489,383.942,428.224,0,0
8.700002,-0.16728191788039723,383.695,429.843,0,0
8.799995999999998,-0.31284986376855406,381.846,429.043,0,0
8.899999,-0.3025005711642966,381.91,427.998,0,0
9.000002,-0.30536432898318305,381.778,427.529,0,0
9.100003000000001,-0.3418011174811962,381.223,427.315,0,0
9.2,-0.40964895365540044,380.273,427.329,0,0
9.3,-0.3879014138526265,380.425,427.169,0,0
9.399998,-0.3390291768222067,380.884,427.388,0,0
9.500002,-0.2789945650137572,381.519,427.001,0,0
9.599997,-0.10522080581845705,383.48,427.525,0,0
9.700001,0.18779623705243906,386.905,427.85,0,0
9.800002000000001,0.4384649127948494,389.844,427.746,0,0
9.900001,0.456328215363961,390.013,426.718,0,0
10.000001000000001,0.6590013995067826,392.23,428.818,0,0
10.100002,0.8574483785312095,394.513,429.107,0,0
10.200002,0.8943048142848359,394.871,428.797,0,0
10.299998,1.0358080578259785,396.449,429.325,0,0
10.399999,0.8088100579234473,393.524,430.225,0,0
10.5,0.6379159923019222,391.433,428.775,0,0
10.599998,0.5082812951957769,389.845,427.324,0,0
10.699997,0.35990634570752955,387.968,426.847,0,0
10.800003,0.28905918870207575,387.053,426.087,0,0
10.9,0.2891598113144888,386.844,427.791,0,0
11.000003000000001,0.5170086903735795,389.538,427.424,0,0
11.099999,0.15857768888738605,385.06,427.757,0,0
11.200003,0.24422498311302993,386.141,425.617,0,0
11.3,0.44199896869558997,388.383,426.653,0,0
11.399998,0.4664708302951638,388.543,427.315,0,0
11.500001000000001,0.4334102197686596,388.038,427.456,0,0
11.600002,0.3476217650854097,386.902,427.457,0,0
11.700003,0.3241982327622675,386.525,427.464,0,0
11.800001,0.3398217354663578,386.65,427.063,0,0
11.899999,0.33036423749258215,386.435,427.226,0,0
11.999998,0.30769294992874113,386.059,427.411,0,0
12.099995999999999,0.2773011594441953,385.608,427.318,0,0
12.200001,0.2833316528428183,385.552,427.988,0,0
12.3,0.2556447934555243,385.071,428.909,0,0
12.4,0.27388370290824615,385.204,428.978,0,0
12.500003000000001,0.2834901591494308,385.272,428.439,0,0
12.599995999999999,0.3979268296048137,386.576,428.518,0,0
12.699997999999999,0.5875419257728519,388.801,428.504,0,0
12.799997,0.5992942673955267,388.784,429.745,0,0
12.9,0.5119837382819021,387.758,427.95,0,0
13.000001000000001,0.3399366200346699,385.632,427.258,0,0
13.099998,0.2258244390569292,384.238,426.15,0,0
13.199997,0.2457351054601287,384.244,428.639,0,0
13.300003,0.011598442717210194,381.385,427.648,0,0
13.400001,-0.0942707498056987,380.065,426.992,0,0
13.499998,-0.12905033070081567,379.608,426.371,0,0
13.599998,-0.04878238275775181,380.461,427.15,0,0
13.699997,-0.013242974380735652,380.757,428.148,0,0
13.799997,0.23758911339022043,383.806,427.047,0,0
13.9,0.4435988291623698,386.227,427.255,0,0
13.999996999999999,0.4189118977357224,385.92,426.275,0,0
14.100003000000001,0.4078766498156655,385.678,426.884,0,0
14.200002,0.3981806203093449,385.528,426.324,0,0
14.300003,0.32833841424774074,384.568,427.005,0,0
14.400003,0.24479696740975762,383.494,426.878,0,0
14.500002,0.37649775701731997,385.019,427.045,0,0
14.599997,0.039334066616100054,380.83,427.431,0,0
14.700002,-0.04146222329228727,379.86,426.238,0,0
14.799997,-0.12284649887270813,378.833,425.835,0,0
14.900003,-0.1588183820329721,378.302,426.32,0,0
15.000003000000001,-0.18409740073923392,377.968,425.771,0,0
15.100002,-0.1690767908983005,378.052,426.357,0,0
15.199997,-0.19796554003611075,377.65,426.207,0,0
15.299998,-0.1502302068729872,378.166,426.281,0,0
15.400001,-0.07988659770392523,378.977,426.052,0,0
15.500001000000001,-0.07643459753346006,378.929,426.547,0,0
15.599997,-0.1314952092456762,378.216,426.328,0,0
15.699999,-0.21342263940126713,377.123,426.952,0,0
15.799998,-0.25062077768584895,376.607,427.069,0,0
15.899996,0.008385586409279822,379.592,428.764,0,0
15.999993,-0.20863241612649067,376.75,431.081,0,0
16.099986,-0.3072043402175354,375.725,427.526,0,0
16.199981,-0.08579779837347042,378.236,429.514,0,0
16.299977000000002,0.08968666868346076,380.28,430.086,0,0
16.399965,0.05120353386353114,379.618,432.298,0,0
16.499962,-0.09405148341413566,377.948,429.99,0,0
16.599955,-0.009330787213897159,379.004,428.787,0,0
16.699949,-0.07117288935816188,378.216,428.561,0,0
16.799944,0.19833849524039082,381.449,428.466,0,0
16.899933,0.36405266299080985,383.135,432.828,0,0
16.999926,0.4119447113740012,383.766,431.306,0,0
17.099919000000003,0.22820412638580043,381.564,430.053,0,0
17.199911,0.22468212449920202,381.609,427.938,0,0
17.299902,0.3150499991577458,382.551,429.649,0,0
17.399897,0.29120044484425595,382.273,428.735,0,0
17.499890999999998,0.3497596003921087,382.984,428.032,0,0
17.599885999999998,0.3089748795746164,382.479,427.464,0,0
17.699874,0.2889058383423863,382.266,426.278,0,0
17.799865,0.2010629076140766,381.197,425.599,0,0
17.899862000000002,0.09565408373124222,379.841,426.074,0,0
