Item1,Item2,Item3,Item4,Item5
48476.093644799999,False,NaN,NaN,False
48476.590873599998,False,NaN,NaN,False
48477.0875008,False,NaN,NaN,False
48477.152204799997,False,NaN,NaN,False
48477.182655999997,True,488.33429,259.838226,False
48477.230387199997,True,489.298859,260.120392,False
48477.262041599999,True,487.246796,254.556854,False
48477.294809599996,True,485.703583,249.768845,False
48477.328243199998,True,488.235291,244.941162,False
48477.358617599995,True,488.087402,245.036362,False
48477.390796799998,True,488.808258,246.36113,False
48477.4230656,True,487.376923,247.581909,False
48477.455385599998,True,488.369476,248.579544,False
48477.502937599995,True,489.533142,248.693649,False
48477.534886399997,True,474.67514,255.28923,False
48477.569062399998,True,424.866364,278.330078,False
48477.599807999999,True,425.008728,279.147003,False
48477.631219199997,True,417.963654,283.084564,False
48477.663244799995,True,417.946869,282.378448,False
48477.695795200001,True,417.654419,284.599884,False
48477.726783999999,True,417.508606,284.397797,False
48477.777087999995,True,417.118286,284.653381,False
48477.806592000001,True,416.906616,284.809448,False
48477.841203199998,True,417.023621,285.274292,False
48477.872486399996,True,417.315613,285.38681,False
48477.9042176,True,417.272064,285.611542,False
48477.935807999995,True,417.182037,285.407318,False
48477.968076799996,True,413.544525,287.892731,False
48478.015705599995,True,410.375519,290.814697,False
48478.047769599994,True,401.594513,289.182343,False
48478.0794752,False,389.309387,285.077271,False
48478.112153599999,False,384.222595,282.963165,False
48478.144064,False,383.168335,277.303101,False
48478.175411199998,False,382.784607,266.715637,False
48478.2091392,False,383.550079,255.375351,False
48478.239743999999,False,386.104095,244.669998,False
48478.289241599996,False,390.250275,233.59993,False
48478.322111999994,False,394.047729,222.002594,False
48478.352383999998,False,397.076202,207.568329,False
48478.385792000001,True,404.278198,197.568665,False
48478.416383999996,True,410.366821,189.104156,False
48478.4483072,True,412.090546,182.592056,False
48478.480319999995,True,411.164581,178.865402,False
48478.510963199995,True,407.430206,180.684601,False
48478.5630208,True,401.915985,185.946564,False
48478.592038399998,False,397.039124,190.462692,False
48478.624844799997,False,392.703552,195.423172,False
48478.658572799999,False,388.954498,199.538605,False
48478.689459199995,False,385.13739,203.29805,False
48478.721983999996,False,381.852051,205.349564,False
48478.753305599996,False,379.842255,205.772858,False
48478.784511999998,False,380.190552,205.938614,False
48478.831398399998,False,380.692047,204.899246,False
48478.863270399997,False,381.32605,203.617981,False
48478.896128,False,382.40271,202.24292,False
48478.928959999997,False,383.073975,201.298569,False
48478.960524800001,False,382.22818,200.585327,False
48478.991615999999,False,379.000641,203.100708,False
48479.023423999999,False,376.675232,204.229477,False
48479.071526399995,False,374.431763,203.347061,False
48479.103782400001,False,372.622803,204.712387,False
48479.1372032,False,371.506714,205.397675,False
48479.169228799998,False,370.700745,204.942795,False
48479.202726399999,False,370.432434,202.370697,False
48479.233996799994,False,369.279083,197.514526,False
48479.265036799996,False,367.930511,191.612366,False
48479.297407999999,False,367.231537,185.400269,False
48479.346329599997,False,365.209534,176.601974,False
48479.377152000001,False,362.224701,163.855194,False
48479.409484799995,False,360.64975,152.269852,False
48479.441561599997,False,360.735779,144.75972,False
48479.473139199996,False,363.200409,138.55043,False
48479.504153599999,False,365.068878,132.343567,False
48479.536934399999,False,364.463257,127.376389,False
48479.567372799997,False,360.268951,125.258842,False
48479.617907200001,False,355.998566,127.467262,False
48479.647948799997,False,355.479034,128.849869,False
48479.679462399996,False,355.535461,128.596344,False
48479.712473599997,False,354.266846,128.410767,False
48479.744179199995,False,353.584198,128.46759,False
48479.776166399999,False,353.540863,127.961807,False
48479.807871999998,False,353.559875,127.304001,False
48479.857113599996,False,353.583038,127.120667,False
48479.889164799999,False,353.912506,127.102188,False
48479.921369600001,False,353.867279,126.828766,False
48479.952844799998,False,353.852783,126.729935,False
48479.985804799995,False,354.092133,126.898857,False
48480.016588799997,False,354.416656,127.035217,False
48480.050393599995,False,354.539307,127.243942,False
48480.0811264,False,354.502319,127.343369,False
48480.127551999998,False,354.623566,127.289131,False
48480.160127999996,False,354.990967,127.181816,False
48480.191782399997,False,354.98053,127.242752,False
48480.224012799998,False,354.881378,127.246513,False
48480.256473599999,False,355.030884,127.358521,False
48480.288908800001,False,354.876953,127.327431,False
48480.320268799995,False,354.992462,127.301079,False
48480.352012799995,False,355.253143,127.438408,False
48480.401241599997,False,355.475311,127.540657,False
48480.4316416,False,355.108643,127.438118,False
48480.464255999999,False,355.16745,127.569252,False
48480.495935999999,False,355.207886,127.582214,False
48480.529663999994,False,355.459259,127.603577,False
48480.560511999996,False,355.720795,127.60466,False
48480.592959999994,False,355.739929,127.649849,False
48480.624038399998,False,355.608002,127.560623,False
48480.674406400001,False,355.480988,127.75045,False
48480.705023999995,False,355.502899,127.840187,False
48480.737587199998,False,354.852905,127.84938,False
48480.769216000001,False,355.322266,127.463463,False
48480.801907199995,False,352.573517,135.999146,False
48480.833292799995,False,351.194794,141.714401,False
48480.865958399998,False,355.600555,148.446991,False
48480.9136,False,356.920258,154.201736,False
48480.943244800001,False,359.883392,156.643661,False
48480.976268799997,False,364.210968,159.211533,False
48481.007731199999,False,366.0961,159.978897,False
48481.042444799998,False,369.087097,162.363831,False
48481.0732928,False,372.717529,163.73732,False
48481.105830399996,False,384.601288,156.005997,False
48481.1365888,False,392.751801,149.088364,False
48481.186444799998,True,400.715515,144.149139,False
48481.217881600001,True,412.285248,138.834366,False
48481.248716800001,True,424.11731,133.870071,False
48481.279667199997,True,433.233124,125.375412,False
48481.312422399998,True,445.905579,117.979034,False
48481.343731199995,True,451.982422,108.013931,False
48481.376614399996,True,453.009064,97.7024994,False
48481.409574400001,True,454.025238,87.1820984,False
48481.458611199996,True,447.970154,82.0204849,False
48481.487999999998,True,427.650574,74.6205215,False
48481.520191999996,False,399.144073,68.9556961,False
48481.5520512,False,370.57724,64.3293304,False
48481.584665599999,False,335.319977,59.2704659,False
48481.616307199998,False,300.23053,57.976799,False
48481.648243199998,False,281.338409,56.4308586,False
48481.697344,False,279.101074,56.3208427,False
48481.728396799997,False,281.036774,55.6546516,False
48481.760588799996,False,286.328705,54.0027275,False
48481.793267199995,False,294.075714,51.0711555,False
48481.824588799995,False,308.555786,46.7400894,False
48481.8576512,False,327.192963,43.6464348,False
48481.888140799994,False,352.505585,40.3814659,False
48481.920307199995,False,379.457214,37.2829094,False
48481.969689599995,True,405.631897,35.4400597,False
48482.001151999997,True,422.770081,36.1589546,False
48482.031475199998,True,470.294006,36.3011169,False
48482.065126399997,True,476.326141,33.2460938,False
48482.0990208,True,485.948853,32.0103912,False
48482.129766400001,True,504.753998,33.1548309,False
48482.160345600001,True,516.685181,33.2074966,False
48482.192153600001,True,493.002045,32.9960594,False
48482.240243199994,True,528.663513,38.4215546,False
48482.272537599994,True,535.384644,37.5862236,False
48482.306367999998,True,545.133606,38.8827553,False
48482.337625599997,True,558.038635,41.0041466,False
48482.368230399996,True,570.382996,41.4835281,False
48482.400870400001,True,580.464111,38.5385094,False
48482.433587200001,True,589.906921,36.7696419,False
48482.466150399996,True,596.135132,36.16259,False
48482.513919999998,True,596.402222,35.7738724,False
48482.544755199997,True,596.308716,34.6884003,False
48482.578355199999,True,596.346802,33.6205482,False
48482.608371199996,True,595.742065,32.9956169,False
48482.642790400001,True,594.73584,32.4922562,False
48482.672895999996,True,595.279602,31.8253441,False
48482.706201599998,True,594.958374,31.2459736,False
48482.753855999996,True,593.127869,31.1509857,False
48482.784537599997,True,593.301575,30.8867702,False
48482.818380799996,True,593.697876,30.4146748,False
48482.8491392,True,594.853821,29.8079414,False
48482.879987199995,True,592.966675,29.7813282,False
48482.912665600001,True,592.726563,29.9941463,False
48482.945241599999,True,593.04718,29.6490498,False
48482.976601599999,True,593.987915,29.9322433,False
48483.024460799999,True,594.418579,31.3838329,False
48483.056575999995,True,590.726746,34.2330627,False
48483.088934399995,True,584.223572,37.4190674,False
48483.120716799996,True,575.263245,41.1044006,False
48483.152883199997,True,569.90564,45.0574722,False
48483.185292800001,True,564.650391,47.9417686,False
48483.217587200001,True,576.445007,50.5081062,False
48483.249049599995,True,578.802246,53.4910355,False
48483.296371199998,True,551.692017,51.8395081,False
48483.3298688,True,547.617676,55.2595978,False
48483.362201600001,True,562.953308,60.3312111,False
48483.3935232,True,554.135437,63.5404205,False
48483.426598400001,True,561.872925,67.8937073,False
48483.459635200001,True,583.114868,72.3560638,False
48483.491174399998,True,587.779236,77.7538071,False
48483.538278399996,True,597.438354,84.0009995,False
48483.568934399998,True,610.504089,92.0477905,False
48483.602623999999,True,621.938599,98.7728271,False
48483.633279999995,True,626.252808,101.347382,False
48483.664345599995,True,625.472656,106.328072,False
48483.697369599999,True,626.993958,116.122856,False
48483.728934399995,True,628.680786,113.845558,False
48483.761907199994,True,629.150635,115.676071,False
48483.809932799995,True,629.274109,118.048126,False
48483.841510400001,True,628.742493,117.597328,False
48483.872281600001,True,630.339478,123.640244,False
48483.906815999995,True,630.008728,122.299309,False
48483.936422399995,True,628.087158,119.807434,False
48483.970137600001,True,628.476318,115.490219,False
48484.001996799998,True,627.702209,115.643867,False
48484.033740799998,True,628.526794,121.896942,False
48484.0824192,True,628.843323,122.193428,False
48484.114393600001,True,628.735168,121.092102,False
48484.144179199997,True,629.340942,121.352913,False
48484.176652800001,True,628.916992,121.00309,False
48484.209062399997,True,628.450256,120.2771,False
48484.240089599996,True,627.601685,119.564209,False
48484.272051200001,True,628.449707,120.385773,False
48484.304447999995,True,628.622986,121.501183,False
48484.352691199994,True,627.786011,118.289154,False
48484.384358399999,True,627.377625,117.73127,False
48484.416998399996,True,628.707581,122.132172,False
48484.448716799998,True,628.52301,121.170448,False
48484.480921599999,True,627.938965,120.32235,False
48484.512908799996,True,628.23877,119.515373,False
48484.545279999998,True,628.288757,120.307304,False
48484.593023999994,True,628.609924,120.696327,False
48484.624422399997,True,628.583374,120.280983,False
48484.657612799994,True,628.186096,118.654114,False
48484.688998400001,True,627.494019,117.989288,False
48484.719718399996,True,627.153259,116.904465,False
48484.752588799995,True,626.829346,117.355125,False
48484.785983999995,True,626.767822,117.094154,False
48484.817126399998,True,626.805298,116.748955,False
48484.864767999999,True,627.207886,117.39978,False
48484.897535999997,True,627.486938,117.033829,False
48484.929599999996,True,626.647766,117.385452,False
48484.960806399999,True,626.827332,117.18705,False
48484.992806399998,True,626.15625,115.926704,False
48485.025510399995,True,626.473022,115.093956,False
48485.057139199998,True,626.244995,116.056183,False
48485.090009599997,True,626.319153,115.210983,False
48485.138956800001,True,626.394348,116.683411,False
48485.171596799999,True,626.248718,115.658348,False
48485.200998399996,True,625.581543,115.55764,False
48485.232947199998,True,625.858215,115.128616,False
48485.266111999998,True,626.275391,114.383209,False
48485.295974399996,True,625.682556,109.003853,False
48485.331647999999,True,624.764648,106.794342,False
48485.377587199997,True,624.525757,105.216545,False
48485.409254400001,True,625.177185,105.043053,False
48485.441983999997,True,625.032593,104.958061,False
48485.473215999999,True,624.759338,104.799194,False
48485.506060799999,True,623.993958,103.589401,False
48485.537062399999,True,623.692261,102.575478,False
48485.571507199995,True,623.009216,100.458511,False
48485.601228799998,True,624.645813,96.9231796,False
48485.651008000001,True,624.155762,97.8542404,False
48485.681151999997,True,623.966736,97.7515411,False
48485.713254399998,True,623.833618,97.8463516,False
48485.745382399997,True,624.020935,99.0105972,False
48485.7775616,True,623.053711,99.7510147,False
48485.809740799996,True,623.181396,96.8321228,False
48485.841254399995,True,623.397888,91.7597504,False
48485.873241599998,True,624.262146,91.6206436,False
48485.921523199999,True,624.245483,86.5313873,False
48485.952614399997,True,625.68158,86.8754578,False
48485.984819199999,True,626.554565,82.0710526,False
48486.017689599998,True,627.436707,80.9029312,False
48486.049804800001,True,627.159058,74.7100983,False
48486.080460799996,True,628.477356,72.242569,False
48486.113587200001,True,628.483215,69.5193481,False
48486.144601599997,True,631.728882,76.4398727,False
48486.194278399998,True,633.526184,74.2934418,False
48486.224601599999,True,635.425232,72.7693939,False
48486.259443199997,True,644.116577,211.447205,False
48486.290867199998,True,638.712524,74.3134613,False
48486.323660800001,True,638.514221,64.8410416,False
48486.354956799994,True,639.836609,75.1645126,False
48486.387007999998,True,638.213989,73.5237198,False
48486.434137600001,True,636.716492,71.1865234,False
48486.465331200001,True,641.091248,208.947784,False
48486.499391999998,True,637.718872,202.420685,False
48486.529036799999,True,626.577515,66.2191238,False
48486.561702399995,True,627.613586,67.9556732,False
48486.5929856,True,637.27063,195.321747,False
48486.625574400001,True,629.881714,81.4439545,False
48486.657471999999,True,633.362427,94.421936,False
48486.706739199995,True,635.022034,119.259613,False
48486.739583999995,True,630.947998,213.753693,False
48486.770060800001,True,619.672485,101.317757,False
48486.802943999995,True,628.406067,211.800156,False
48486.834854399996,True,618.830872,102.4916,False
