Item1,Item2,Item3,Item4,Item5
42604.894156800001,False,356.362091,296.708252,False
42605.386316799995,False,356.362091,296.708252,False
42605.386316799995,False,356.362091,103.603172,False
42605.386316799995,False,356.362091,103.603172,False
42605.386316799995,False,166.873016,103.603172,False
42605.898278399996,False,166.873016,103.603172,False
42605.898278399996,False,166.873016,105.638885,False
42605.898278399996,False,166.873016,105.638885,False
42605.898278399996,False,166.518524,105.638885,False
42606.3942016,False,166.518524,105.638885,False
42606.3942016,False,166.518524,104.590477,False
42606.3942016,False,166.518524,104.590477,False
42606.3942016,False,166.742859,104.590477,False
42606.889804799997,False,166.742859,104.590477,False
42606.889804799997,False,166.742859,106.650406,False
42606.889804799997,False,166.742859,106.650406,False
42606.889804799997,False,166.186996,106.650406,False
42607.386150400001,False,166.186996,106.650406,False
42607.386150400001,False,166.186996,106.58696,False
42607.386150400001,False,166.186996,106.58696,False
42607.386150400001,False,166.253616,106.58696,False
42607.898598399996,False,166.253616,106.58696,False
42607.898598399996,False,166.253616,106.33918,False
42607.898598399996,False,166.253616,106.33918,False
42607.898598399996,False,166.906433,106.33918,False
42608.394188799997,False,166.906433,106.33918,False
42608.394188799997,False,166.906433,105.216377,False
42608.394188799997,False,166.906433,105.216377,False
42608.394188799997,False,166.228073,105.216377,False
42608.891379199995,False,166.228073,105.216377,False
42608.891379199995,False,166.228073,106.456619,False
42608.891379199995,False,166.228073,106.456619,False
42608.891379199995,False,166.410965,106.456619,False
42609.020185599999,False,166.410965,106.456619,False
42609.020185599999,False,166.410965,10.9481573,False
42609.020185599999,True,166.410965,10.9481573,False
42609.020185599999,True,680.905396,10.9481573,False
42609.051033600001,True,680.905396,10.9481573,False
42609.051033600001,True,680.905396,298.5,False
42609.051033600001,False,680.905396,298.5,False
42609.051033600001,False,354.5,298.5,False
42609.083046399996,False,354.5,298.5,False
42609.083046399996,False,354.5,298.5,False
42609.083046399996,False,354.5,298.5,False
42609.083046399996,False,354.5,298.5,False
42609.1148416,False,354.5,298.5,False
42609.1148416,False,354.5,298.5,False
42609.1148416,False,354.5,298.5,False
42609.1148416,False,354.5,298.5,False
42609.163046399997,False,354.5,298.5,False
42609.163046399997,False,354.5,298.5,False
42609.163046399997,False,354.5,298.5,False
42609.163046399997,False,354.5,298.5,False
42609.194982399997,False,354.5,298.5,False
42609.194982399997,False,354.5,298.5,False
42609.194982399997,False,354.5,298.5,False
42609.194982399997,False,354.5,298.5,False
42609.226995199999,False,354.5,298.5,False
42609.226995199999,False,354.5,298.5,False
42609.226995199999,False,354.5,298.5,False
42609.226995199999,False,354.5,298.5,False
42609.257535999997,False,354.5,298.5,False
42609.257535999997,False,354.5,298.5,False
42609.257535999997,False,354.5,298.5,False
42609.257535999997,False,354.5,298.5,False
42609.289702399998,False,354.5,298.5,False
42609.289702399998,False,354.5,298.5,False
42609.289702399998,False,354.5,298.5,False
42609.289702399998,False,354.5,298.5,False
42609.322252799997,False,354.5,298.5,False
42609.322252799997,False,354.5,298.5,False
42609.322252799997,False,354.5,298.5,False
42609.322252799997,False,354.5,298.5,False
42609.355225599997,False,354.5,298.5,False
42609.355225599997,False,354.5,298.5,False
42609.355225599997,False,354.5,298.5,False
42609.355225599997,False,354.5,298.5,False
42609.386828800001,False,354.5,298.5,False
42609.386828800001,False,354.5,298.5,False
42609.386828800001,False,354.5,298.5,False
42609.386828800001,False,354.5,298.5,False
