Time,Events,UV,Fluorescence,TimeStampAdjusted,Fluorescence_Corrected,Fluorescence_Corrected_Z,Time_sec,Speed,DFF,Fluorescence_filt,UV_filt
1380.15498,,813.914,758.617,1380.15498,12.360065479274894,0.5428989317883015,1380.15498,7.252371502204299,-0.06793961032738106,-4.352919406432843,0.1167446578525598
1380.254978,,819.9,757.408,1380.254978,12.875435743718942,0.563054007819632,1380.254978,7.004084492419596,-0.0762190511037931,-3.608977355180206,5.764320056551276
1380.35498,,823.727,756.714,1380.35498,15.00807996792481,0.646457357706369,1380.35498,10.003007947025704,-0.08135340956409091,-1.3905784993086787,6.250513236430425
1380.454973,,815.016,762.759,1380.454973,17.50457709299848,0.7440902497051671,1380.454973,4.540054357160873,-0.06411775965134421,0.9150203508468452,4.670545979884115
1380.554968,,820.079,764.945,1380.554968,17.510111740721918,0.7443066984476898,1380.554968,6.28539467052159,-0.06723010831883258,0.9552814781495984,4.186552990488763
1380.654967,,819.6,758.181,1380.654967,18.0036715837177,0.7636088135441489,1380.654967,1.893407088220004,-0.0749377745241581,1.569640293386912,2.998712462061845
1380.7549680000002,,812.145,768.384,1380.7549680000002,24.62325104522023,1.0224870153859664,1380.7549680000002,5.833167967710968,-0.05388323513658271,7.766361242102518,-0.226085398705516
1380.854963,,812.285,783.126,1380.854963,35.55134546862888,1.4498624174553123,1380.854963,10.234949466716978,-0.03589749903051268,18.525254134795155,-1.8130473508315013
1380.954961,,818.169,786.592,1380.954961,44.17915081566395,1.7872782226543151,1380.954961,7.886259899499659,-0.038594715761658044,27.791723357182363,1.6396993930060686
1381.0549569999998,,820.013,788.255,1381.0549569999998,46.93741264242041,1.8951481962791288,1381.0549569999998,3.261302245409276,-0.03872865430182209,30.80342835534137,7.409845499875286
1381.154954,,824.18,792.691,1381.154954,43.12551101209088,1.7460725268356794,1381.154954,11.713005780615635,-0.038206459753937154,26.568909283500897,9.446351879431033
1381.254952,,821.882,778.649,1381.254952,36.2140909275737,1.4757810356527772,1381.254952,12.008159852540096,-0.0526024417130439,19.49222410713176,5.727640404290044
1381.354949,,813.539,775.65,1381.354949,34.72566851504334,1.4175718820384389,1381.354949,11.89920060150537,-0.04657305918954102,18.0631291963814,1.049069631740679
1381.454946,,816.407,790.098,1381.454946,42.23155650654621,1.7111117961322118,1381.454946,3.1300345453796226,-0.03222534838628292,25.57674955582233,1.2926331932122133
1381.554938,,820.172,793.684,1381.554938,51.645399975456485,2.079267943184288,1381.554938,22.24155503127716,-0.032295664811771256,35.17249752489428,5.7599510955993525
1381.654938,,822.883,802.101,1381.654938,55.54623661396532,2.2318216787393608,1381.654938,3.0888399944557645,-0.025255109171048666,39.23334089729632,8.368284708113567
1381.7549339999998,,821.777,797.43,1381.7549339999998,54.95713585356625,2.2087831539444425,1381.7549339999998,3.0021784676560435,-0.029627258976583783,38.468722928450575,6.405231215336602
1381.85493,,816.39,797.129,1381.85493,53.979909053488,2.1705658142679325,1381.85493,1.6249634698231592,-0.02359289065275171,37.22273256027669,3.707754919078088
1381.954926,,819.066,799.629,1381.954926,52.47569552940359,2.111739102606596,1381.954926,5.857019777365003,-0.023730688369435444,35.80459862519422,3.9300879886976223
1382.054922,,820.389,790.966,1382.054922,48.5745063013877,1.9591715779976857,1382.054922,4.234335499221729,-0.03586469345639691,32.20380039771969,5.265939071975406
