Time,Events,UV,Fluorescence,TimeStampAdjusted,Fluorescence_Corrected,Fluorescence_Corrected_Z,Time_sec,Speed,DFF,Fluorescence_filt,UV_filt
0.0,,880.016,866.833,0.0,-1.986668652184374,0.1118428571813337,0.0,6.288642286410273,-0.014980409447100954,12.91738253859494,4.598576518027564
0.099997,,874.625,871.841,0.099997,-1.7860226891878526,0.1169268620131239,0.099997,1.5159009979863785,-0.0031830784621980756,12.725313821491437,-0.1186927199416145
0.1999979999999999,,872.095,858.937,0.1999979999999999,-7.782679678672295,-0.0350175511902263,0.1999979999999999,47.34990336459471,-0.015087805800973535,6.950156637871418,-3.947416642392254
0.299995,,868.156,848.936,0.299995,-13.687576834408809,-0.1846369366124454,0.299995,23.72399738680173,-0.022138878266117972,0.8801564288839052,-6.462654580084621
0.3999979999999999,,867.217,860.492,0.3999979999999999,-13.709026269544484,-0.1851804264003304,0.3999979999999999,2.812100059097965,-0.007754691155731522,0.3301571793139297,-7.999031674038003
0.500001,,865.322,852.397,0.500001,-12.349494271779443,-0.1507323510820608,0.500001,30.01142671344412,-0.014936636304173422,1.91515753868102,-9.430071996257425
0.5999990000000001,,864.486,855.297,0.5999990000000001,-14.309291716286111,-0.2003900642421048,0.5999990000000001,12.96124545399294,-0.010629437608012118,0.4528455304902845,-11.136036768394703
0.699997,,861.738,844.0,0.699997,-19.41429296128198,-0.3297415378937532,0.699997,9.48083776862281,-0.020583982602600855,-4.917733476554708,-12.451381127250578
0.799997,,861.212,843.497,0.799997,-28.503090413136903,-0.5600351828309021,0.799997,6.1262118457040575,-0.02056984807457401,-14.397171125552717,-12.882472090670795
0.899999,,863.325,824.539,0.899999,-42.04689954651009,-0.9032107446342948,0.899999,5.653755165422213,-0.04492630237743614,-27.616415631568696,-13.070176677000727
0.999999,,859.541,808.297,0.999999,-55.97259716298493,-1.2560626680464555,0.999999,17.803319379264092,-0.05961786581442889,-41.2040722657386,-13.789638912623715
1.099999,,858.441,801.451,1.099999,-67.72510926039513,-1.5538500114675766,1.099999,1.5163145383149472,-0.06638778902685218,-53.19601881591967,-15.356991215662394
1.199999,,857.872,789.249,1.199999,-79.29452487798667,-1.8469980221347264,1.199999,13.29268002045625,-0.0799921200365555,-64.93008787927889,-18.1552500428646
1.299997,,851.862,777.363,1.299997,-88.44837727970213,-2.0789400415244854,1.299997,12.797226288880346,-0.08745430597913736,-74.08565832797898,-21.84220619183788
1.399996,,848.423,775.069,1.399996,-88.21405289618419,-2.073002686592345,1.399996,14.847986146672016,-0.08645923083179033,-74.22775593857834,-24.698666924565103
1.499995,,849.638,791.326,1.499995,-78.96436869365465,-1.838632463160492,1.499995,4.415115730653629,-0.06863158192077097,-65.02953581418085,-25.54119197297832
1.5999960000000002,,849.606,796.509,1.5999960000000002,-69.50860011030136,-1.5990404352516532,1.5999960000000002,1.5705811307241813,-0.062496027570426736,-54.81080850481073,-25.00233955649372
1.7,,847.718,798.641,1.7,-65.62284062109048,-1.5005823366022155,1.7,7.829327570317554,-0.05789307293227229,-50.77980184359553,-24.147935546846465
1.7999960000000002,,852.391,801.593,1.7999960000000002,-66.11072264768185,-1.5129443823842044,1.7999960000000002,2.368683516790332,-0.05959471650920763,-52.028459012104136,-23.5428941121882
1.899996,,849.029,803.04,1.899996,-66.53918648100198,-1.5238008789033226,1.899996,2.983429243384139,-0.05416658323802842,-52.26269038370416,-23.53209603930075
1.999999,,850.272,795.529,1.999999,-63.6008562388562,-1.4493489192158828,1.999999,4.494529731562449,-0.06438292687516471,-48.35835624607762,-24.010426183322465
2.0999980000000003,,848.417,809.849,2.0999980000000003,-60.76822890473141,-1.3775752795259522,2.0999980000000003,0.628023047817833,-0.045458777935849924,-45.632259327552894,-24.50127223056593
2.199999,,849.136,807.539,2.199999,-62.79128558697303,-1.4288358670498598,2.199999,1.812294918243635,-0.04898744135215087,-48.269583592585455,-24.88832916300312
2.3,,848.418,799.755,2.3,-61.31179532324546,-1.3913482668158696,2.3,1.529841860246945,-0.05735734036760183,-46.67606590777752,-25.18266211886741
2.4,,847.557,818.452,2.4,-44.68765976850976,-0.9701228196531106,2.4,1.8327332157811569,-0.034339873306456103,-29.75863075452124,-25.04220867826735
2.5,,848.854,848.973,2.5,-22.9692805100384,-0.4198184754254847,2.5,2.966038855109081,0.00014018900776801958,-7.775897536171483,-24.513343327652706
2.600001,,849.816,848.606,2.600001,-18.335392574841165,-0.3024041586822883,2.600001,0.345515280758813,-0.0014238376307342251,-2.668132938759986,-24.30266503929133
2.699995,,847.12,830.112,2.699995,-32.756596952532135,-0.6678113248244074,2.699995,1.56317520572308,-0.020077438851638537,-17.20964575710756,-24.64447616986111
2.799996,,848.356,817.41,2.799996,-47.99152500121146,-1.053836773105194,2.799996,0.0,-0.03647761081432798,-33.14538815425625,-25.150106062712528
2.899996,,847.169,816.758,2.899996,-52.03716433703528,-1.1563459371264282,2.899996,0.0,-0.035897205870375266,-37.098957335510285,-25.89303092898736
3.0,,845.371,817.148,3.0,-47.44857524357734,-1.040079410883662,3.0,1.4397399714431858,-0.033385342056919336,-31.732297848522823,-27.181291948694103
3.099997,,844.265,825.138,3.099997,-40.20319127017071,-0.8564945204684312,3.099997,0.0,-0.022655208968747908,-24.42335902610451,-28.51686283524193
3.2000010000000003,,843.305,833.324,3.2000010000000003,-32.97607542479285,-0.6733725112882825,3.2000010000000003,0.3041678446833857,-0.011835575503524817,-17.670750189034877,-29.13981940133685
