Time,Events,UV,Fluorescence,TimeStampAdjusted,Fluorescence_Corrected,Fluorescence_Corrected_Z,Time_sec,Speed,DFF,Fluorescence_filt,UV_filt,DFF_raw
0.0,,972.482,763.094,0.0,0.516866121,-0.107047127,0.0,3.792507259,-0.21531298265674834,6.852576380235976,8.798152035936667,-0.2153129826567483
0.099999,,968.319,763.078,0.099999,2.678893841,0.337282587,0.099999,0.603456982,-0.2119559773173923,5.80380720430442,4.758861150243988,-0.2119559773173923
0.199998,,964.073,760.632,0.199998,5.896883507,0.998628606,0.199998,1.509756196,-0.2110224018305668,5.492042880364551,0.0467315485807193,-0.2110224018305668
0.299997,,958.854,762.169,0.299997,9.680569017,1.77623376,0.299997,0.592286762,-0.20512507639327787,6.125984104488638,-4.067670868363023,-0.2051250763932778
0.399994,,956.644,763.513,0.399994,12.17000292,2.287850443,0.399994,1.905646767,-0.20188387738803565,6.905038761648414,-6.178819756132145,-0.2018838773880356
0.499995,,957.343,763.06,0.499995,12.83963473,2.425470007,0.499995,8.068751412,-0.20293980318443863,7.009363895689152,-6.938015507958559,-0.2029398031844386
0.599996,,955.492,761.773,0.599996,12.99217724,2.456819822,0.599996,14.62389418,-0.20274267079159214,6.630519323473445,-7.643006162150957,-0.2027426707915921
0.7,,953.383,762.15,0.7,12.87794209,2.433342753,0.7,13.18642639,-0.2005836059589903,5.911678074724607,-8.353042863493737,-0.2005836059589903
0.799995,,955.235,760.592,0.799995,11.76323854,2.204254151,0.799995,5.399922298,-0.20376451867864978,4.3055739549841325,-8.989171857706985,-0.2037645186786497
0.899998,,952.575,757.594,0.899998,10.55658581,1.956268589,0.899998,3.348382196,-0.20468834474975722,2.2177296320149904,-10.157873018144215,-0.2046883447497572
0.999995,,950.831,756.792,0.999995,10.79654544,2.005583958,0.999995,0.613452053,-0.20407306871568132,1.3572516600500155,-11.550499230927898,-0.2040730687156813
1.1,,951.19,758.304,1.1,11.95752164,2.244182297,1.1,0.909146422,-0.20278388124349506,2.2678741692099944,-11.832175304019264,-0.202783881243495
1.199999,,951.091,758.895,1.199999,12.49631947,2.354913479,1.199999,11.77441766,-0.20207950658769774,3.427502872154561,-11.03304937296556,-0.2020795065876977
1.299995,,952.345,759.629,1.299995,12.46119982,2.347695853,1.299995,1.535176865,-0.20235943906882486,3.6760874738790656,-10.696963139554995,-0.2023594390688248
1.399994,,951.966,758.388,1.399994,12.69168687,2.395064462,1.399994,1.473093222,-0.2033454976333188,3.54125880150248,-11.113759153353794,-0.2033454976333188
1.5,,949.381,758.853,1.5,12.55613926,2.367207359,1.5,0.629512107,-0.2006865526063825,3.351145956250116,-11.121661471012784,-0.2006865526063825
1.599997,,952.078,758.266,1.599997,11.31905143,2.112966918,1.599997,1.542374637,-0.20356735477555413,2.215600107069943,-11.064799018968747,-0.2035673547755541
1.699995,,951.135,755.018,1.699995,10.27214008,1.897810647,1.699995,3.035432834,-0.20619260147087423,0.0127599094582504,-12.542039166548673,-0.2061926014708742
1.799998,,945.022,753.116,1.799998,10.53457263,1.951744545,1.799998,4.958970625,-0.20307040471015494,-1.6676612445645826,-14.924220751248937,-0.2030704047101549
1.899997,,946.244,754.132,1.899997,11.10354161,2.068676358,1.899997,1.495228223,-0.20302585802393472,-1.8335267498245105,-15.95887961767535,-0.2030258580239347
2.0,,947.812,753.039,2.0,10.97016783,2.041266009,2.0,2.30864305,-0.20549750372436731,-1.5953181072687062,-15.571326375861071,-0.2054975037243673
2.099999,,945.368,753.439,2.099999,10.2958253,1.902678321,2.099999,1.828982235,-0.20302041109916993,-2.28181910083922,-15.43349300289921,-0.2030204110991699
2.199996,,945.459,750.929,2.199996,9.418150734,1.722302795,2.199996,2.883269397,-0.20575191520732256,-3.591144320242356,-15.93545935358571,-0.2057519152073225
2.3,,945.692,750.487,2.3,8.739496359,1.582828957,2.3,1.542422838,-0.206414985005689,-4.621032672558755,-16.48834969022623,-0.206414985005689
