Time,Events,UV,Fluorescence,TimeStampAdjusted,Fluorescence_Corrected,Fluorescence_Corrected_Z,Time_sec,Speed,DFF,Fluorescence_filt,UV_filt,DFF_raw
0.0,0,1828.899,1808.77,0.0,6.394245875684733,0.7036141950340226,0.0,1.346926349,-0.011006075239802694,14.18219400588533,15.149068849567268,-0.0110060752398026
0.099996,0,1821.275,1804.884,0.099996,4.03331349670915,0.4881826196086474,0.099996,0.0,-0.008999739193696765,10.77813575562153,7.115799117660953,-0.0089997391936967
0.199995,0,1815.076,1802.222,0.199995,1.2725814370831232,0.2362699167168183,0.199995,0.0,-0.0070817971258504,7.334665362555886,1.776390505854807,-0.0070817971258504
0.299997,0,1809.487,1795.603,0.299997,-2.673695703299873,-0.1238220151777906,0.299997,0.0,-0.007672892924900822,2.784042146903237,-2.404515077431024,-0.0076728929249008
0.400001,0,1803.454,1792.797,0.400001,-7.868090450521397,-0.59780282620838,0.400001,3.645627701,-0.0059092164258139806,-3.4524653685976734,-10.050872188119286,-0.0059092164258139
0.499997,0,1794.4,1781.998,0.499997,-12.72901648268631,-1.041355111932839,0.499997,3.538550581,-0.00691150245207314,-9.766529060501949,-21.745522476631585,-0.0069115024520731
0.599997,0,1775.418,1780.266,0.599997,-15.879009288366644,-1.3287872801513807,0.599997,0.631131442,0.0027306245627791224,-14.113282092034131,-31.34928623992875,0.0027306245627791
0.699998,0,1781.038,1776.901,0.699998,-18.03326134501365,-1.525359582924487,0.699998,3.466960821,-0.002322802770070006,-16.73098986327708,-34.41164378647584,-0.00232280277007
0.799997,0,1779.184,1774.959,0.799997,-20.073851440786243,-1.7115604004677891,0.799997,0.574683744,-0.002374684124857187,-18.8687055497853,-34.406904170249945,-0.0023746841248571
0.9,0,1773.509,1772.529,0.9,-20.98026900515961,-1.7942696578887551,0.9,3.448082417,-0.0005525768406024543,-19.997296729112904,-35.91858759453073,-0.0005525768406024
0.999995,0,1775.578,1773.997,0.999995,-19.877674272533785,-1.6936595250359168,0.999995,5.947094646,-0.0008904142763651631,-19.11563606598996,-37.600754641018966,-0.0008904142763651
1.099996,0,1774.272,1775.633,1.099996,-18.24123206481224,-1.5443366024306533,1.099996,1.246992198,0.0007670751722397151,-17.466962701734353,-36.66121462729296,0.0007670751722397
1.199996,0,1776.976,1776.663,1.199996,-17.757683317532035,-1.5002134969367378,1.199996,2.237670436,-0.00017614194001500406,-16.86556410421951,-34.79265672130094,-0.000176141940015
1.299996,0,1776.442,1774.967,1.299996,-17.67360122365151,-1.4925411306669314,1.299996,2.369385214,-0.0008303113752094969,-16.81657703783056,-35.10311498053928,-0.0008303113752094
1.399999,0,1774.158,1775.568,1.399999,-17.03032174167987,-1.4338428327088593,1.399999,0.54535767,0.0007947431964910013,-16.411410907997627,-36.83948890024811,0.000794743196491
1.499997,0,1772.322,1776.361,1.499997,-17.44931655194369,-1.4720754872626318,1.499997,1.250789124,0.0022789312551557872,-17.000151199492304,-37.33904944975016,0.0022789312551557
1.599997,0,1774.602,1773.486,1.599997,-19.82064265123204,-1.6884554742399216,1.599997,31.08196514,-0.0006288734037265738,-19.41601573495412,-37.251585860819134,-0.0006288734037265
1.7,0,1771.061,1768.746,1.7,-21.11574881317015,-1.8066319892871248,1.7,0.0,-0.001307126067368559,-21.07101760683273,-39.5933823083066,-0.0013071260673685
