time,zscore,fluorescence,isobestic,ToneStart,PelletGrab
0.0,37.103638681250075,484.785,583.956,0,0
0.099996,33.99679486093183,480.318,577.282,0,0
0.199996,32.215826344854676,478.239,571.836,0,0
0.299999,31.408962838687547,478.018,566.944,0,0
0.39999900000000005,30.4112616247289,476.708,564.381,0,0
0.499995,29.92918978321808,476.831,560.6,0,0
0.599997,27.52852356550348,472.732,557.619,0,0
0.7,26.17047065333115,470.594,555.324,0,0
0.799995,24.121503628127392,467.355,551.907,0,0
0.9000009999999999,22.93263687653298,465.27,550.615,0,0
0.999998,22.18812868400499,464.042,549.544,0,0
1.0999960000000002,21.852372619710973,463.882,547.736,0,0
1.2000009999999999,22.119708549912495,465.038,545.714,0,0
1.300001,21.325958850662104,463.609,544.975,0,0
1.399999,19.55009596520485,459.781,545.445,0,0
1.499999,18.862120805234277,459.121,542.859,0,0
1.5999960000000002,18.18797421330005,458.642,539.761,0,0
1.699997,15.734225328809357,453.26,540.723,0,0
1.800001,14.799702080285854,452.925,535.323,0,0
1.899998,15.04688994731125,452.657,537.948,0,0
1.999996,15.930680579472572,455.058,536.044,0,0
2.099996,17.0346543174153,457.062,537.012,0,0
2.199998,16.933375355558965,457.007,536.488,0,0
2.2999989999999997,17.870099604545313,458.976,536.406,0,0
2.4,18.270849512702096,459.962,535.887,0,0
2.500001,17.900177625628004,459.173,535.95,0,0
2.5999969999999997,16.069273588940362,455.775,534.59,0,0
2.7000010000000003,15.654862045468512,455.054,534.119,0,0
2.799998,14.243504310102827,451.822,535.13,0,0
2.899998,14.98194211030986,453.732,533.862,0,0
3.000001,16.02104976878856,454.328,539.111,0,0
3.099996,14.451623594962525,451.84,536.517,0,0
3.2,13.15630341101687,449.307,535.988,0,0
3.2999989999999997,12.039179473152293,447.854,533.072,0,0
3.400001,14.362380879725722,452.029,535.253,0,0
3.5,15.126342685109229,453.448,535.814,0,0
3.6000010000000002,19.175258562255106,462.194,534.675,0,0
3.700003,20.072706916617047,464.248,534.033,0,0
3.8,20.83984003956726,465.394,535.534,0,0
3.8999989999999998,24.077109586043733,470.808,539.931,0,0
3.999998,23.621471200170127,470.764,536.896,0,0
4.100001,24.430186582023477,472.187,537.756,0,0
4.2,25.31728137308695,473.166,540.656,0,0
4.299995,26.96655399109439,477.001,539.275,0,0
4.399997999999999,27.635209836306643,477.839,541.124,0,0
4.5,27.353022126628037,478.06,538.409,0,0
4.5999989999999995,28.03767669952315,479.582,538.07,0,0
4.6999949999999995,28.172563682578655,480.018,537.544,0,0
4.8,29.429099158145153,483.878,533.337,0,0
4.899997,36.279858166069324,498.322,532.602,0,0
4.999995,40.610040051841786,506.976,533.736,0,0
5.1,40.33939514102582,506.569,533.213,0,0
5.199997000000001,38.90614259407533,503.075,534.952,0,0
5.300001,36.31380159874219,497.081,537.004,0,0
5.399995,35.124436061779846,494.492,537.403,0,0
5.5,32.46324474029652,489.678,535.007,0,0
5.5999989999999995,29.91841910328753,484.404,534.97,0,0
5.7,27.60266662260526,478.99,537.003,0,0
5.7999979999999995,26.003096298530778,477.238,531.724,0,0
5.899997,24.270971698723617,474.093,530.203,0,0
5.999995,23.844821312546795,472.574,532.333,0,0
6.099996,23.56841964595593,471.153,535.179,0,0
6.1999960000000005,22.43847021067397,469.229,533.757,0,0
6.299997,23.103555271887082,470.451,534.29,0,0
6.399997999999999,22.93521244095922,470.075,534.377,0,0
6.499999,20.7774716072018,466.114,532.628,0,0
6.599997999999999,19.741888357512273,463.883,532.897,0,0
6.699997000000001,19.061400437050033,462.583,532.515,0,0
6.7999979999999995,17.635258836885477,459.331,533.49,0,0
6.899995,17.151702419444618,458.097,534.261,0,0
6.9999970000000005,16.051369267009502,456.269,532.723,0,0
7.0999989999999995,14.930241300239148,453.115,535.498,0,0
7.2,14.742529906546844,452.65,535.749,0,0
7.299999,14.226624944989311,452.521,532.579,0,0
7.399996,13.789396848272727,452.078,531.014,0,0
7.4999970000000005,14.465005891774885,453.895,529.62,0,0
7.599997999999999,15.132816508128913,455.164,530.014,0,0
7.6999949999999995,20.089656089835916,464.133,534.464,0,0
7.7999979999999995,19.555785519582038,463.688,532.231,0,0
7.899999,19.348885940581127,461.997,536.47,0,0
7.999995,17.82536672789264,459.618,533.83,0,0
