time,zscore,fluorescence,isobestic,ToneStart,PelletGrab
0.0,-10.392300788462888,549.149,556.444,0,0
0.099998,-8.977117708547562,550.614,554.985,0,0
0.199995,-8.429941923502783,549.519,553.351,0,0
0.299996,-6.2738441050513165,548.594,549.117,0,0
0.39999799999999996,-3.65815969847439,551.597,546.62,0,0
0.499996,-3.5882270747029774,550.822,545.994,0,0
0.6,-4.684981168387199,548.512,546.351,0,0
0.699995,-5.20318499309782,546.299,545.796,0,0
0.799999,-6.681749750081177,539.263,543.775,0,0
0.9,-4.492427728167274,538.244,539.425,0,0
0.999999,-3.4172808354093567,541.437,539.643,0,0
1.0999949999999998,-3.1474374977316963,544.524,541.149,0,0
1.2000009999999999,-4.63907030224248,541.091,541.453,0,0
1.2999990000000001,-5.303976600257988,540.297,542.052,0,0
1.399999,-5.393216924986726,538.782,541.221,0,0
1.500001,-4.731553120349967,538.195,539.719,0,0
1.600001,-5.120442535382337,535.836,538.853,0,0
1.699995,-4.316052097473075,537.022,538.244,0,0
1.8,-3.533833034469288,539.348,538.401,0,0
1.8999949999999999,-1.3233893886354795,542.349,536.585,0,0
2.000001,-1.054104219529497,543.033,536.556,0,0
2.099999,-2.1142149613226127,540.372,536.627,0,0
2.200002,-0.06514909335467924,545.157,536.223,0,0
2.299997,0.30235861673322256,545.804,536.005,0,0
2.399997,1.0861498055975152,548.095,536.137,0,0
2.4999949999999997,0.20608827332446367,545.697,536.073,0,0
2.599996,0.4970261697317271,545.601,535.509,0,0
2.699995,1.2669732770152569,546.363,534.687,0,0
2.799997,0.6642023682355688,544.287,534.362,0,0
2.900001,1.468745260007603,544.167,532.918,0,0
2.999999,1.2329628422279926,544.317,533.398,0,0
3.0999980000000003,1.3573333409166044,543.97,532.954,0,0
3.2,1.8232241135657725,544.316,532.378,0,0
3.2999989999999997,1.5190883212973647,542.504,531.719,0,0
3.4,3.1126714077306916,549.37,533.412,0,0
3.500002,1.840988002183242,545.565,533.108,0,0
3.599995,1.937972306811627,541.729,530.48,0,0
3.699996,3.5669025085532207,545.229,529.962,0,0
3.799996,1.343481180926366,541.677,531.422,0,0
3.9000019999999997,2.855844121794998,544.058,530.385,0,0
3.999999,3.672312820354642,545.113,529.672,0,0
4.0999989999999995,2.6380782097141546,543.307,530.246,0,0
4.199997000000001,2.6109871359816577,540.923,528.755,0,0
4.299997,2.652840704466463,539.046,527.472,0,0
4.399996,2.532846935682582,539.673,528.062,0,0
4.499998,2.048747141078489,538.856,528.342,0,0
4.600002000000001,2.120537411444149,537.826,527.55,0,0
4.700001,1.1837700242818059,534.95,527.276,0,0
4.7999979999999995,-0.27317763563076247,530.33,526.763,0,0
4.899997999999999,1.2215077973441215,531.078,524.712,0,0
5.0,1.5419777011592226,531.662,524.533,0,0
