time,zscore,fluorescence,isobestic,ToneStart,PelletGrab
0.0,-0.35795590489089496,418.195,392.903,0,0
0.100001,-0.5528279395781269,415.882,390.933,0,0
0.199997,1.2471132140678034,414.914,387.874,0,0
0.299998,1.1606833842971198,412.946,386.105,0,0
0.39999799999999996,2.79463014304902,412.553,383.794,0,0
0.500001,3.5269837507527564,411.601,382.022,0,0
0.600001,3.644259341881298,409.27,379.663,0,0
0.700001,4.145441702562355,408.35,378.197,0,0
0.799999,3.9696109003126288,407.719,377.814,0,0
0.9000009999999999,4.397872550147053,407.075,376.699,0,0
0.9999969999999999,4.395265073751543,406.576,376.236,0,0
1.0999970000000001,4.554276499904231,405.554,375.08,0,0
1.2,4.679156349318319,404.408,373.846,0,0
1.3000019999999999,5.013245243453007,403.304,372.403,0,0
1.4,3.726633063263143,401.538,372.257,0,0
1.499999,4.149586566009052,400.554,370.823,0,0
1.599999,3.833572696493133,399.924,370.608,0,0
1.699999,4.585260123079732,400.67,370.438,0,0
1.799998,3.963080496601685,400.405,370.937,0,0
1.9000029999999999,2.820375076332595,399.188,371.145,0,0
1.999997,2.3700742259798595,398.395,370.934,0,0
2.1,3.8122848693883165,397.712,368.574,0,0
2.2,4.5898186244976245,399.161,369.046,0,0
2.299998,3.4586341685900326,398.718,369.981,0,0
2.399998,3.9719185611997374,398.628,369.295,0,0
2.499999,4.737229313581509,399.556,369.283,0,0
2.599999,5.214435532095473,400.558,369.685,0,0
2.7000010000000003,6.398647722903248,401.208,368.908,0,0
2.799997,5.827971509888662,401.657,370.029,0,0
2.9000030000000003,6.210818949175344,402.018,369.93,0,0
2.999998,6.225441766274093,400.999,368.949,0,0
3.100002,5.445442692143183,401.038,369.927,0,0
3.1999969999999998,6.642540484090472,401.518,368.972,0,0
3.3000030000000002,5.8796607459679535,400.363,368.787,0,0
3.400001,5.351447827829068,400.172,369.245,0,0
3.499997,7.021371647407603,400.88,367.945,0,0
3.6,5.613196898730101,399.694,368.499,0,0
3.6999989999999996,5.933250214253594,400.098,368.516,0,0
3.8,6.058646501488016,399.523,367.828,0,0
3.899997,5.428992267368646,400.119,369.16,0,0
4.000003,7.146101362569288,401.404,368.356,0,0
4.099997999999999,7.330133499423433,400.926,367.691,0,0
4.199999,7.180410445240509,400.554,367.525,0,0
4.299999,6.236680082618113,400.549,368.656,0,0
4.399997,6.458479063641941,400.095,367.969,0,0
4.499999,4.746008580887806,399.107,369.075,0,0
4.600002000000001,5.963620604736269,400.067,368.555,0,0
4.7000020000000005,6.791781381242421,399.886,367.407,0,0
4.800002,6.577704081865924,399.716,367.511,0,0
4.899999,5.692406758131005,398.745,367.648,0,0
5.0,5.389961217395164,398.744,368.019,0,0
5.099997,5.8904330260979325,398.943,367.625,0,0
5.199998,5.976986364202899,398.26,366.88,0,0
5.299997,6.147448097876832,398.322,366.748,0,0
5.400003,7.111270856825902,398.988,366.249,0,0
5.5,6.72407998362994,399.242,366.965,0,0
5.600002000000001,6.336196628291725,399.097,367.3,0,0
5.6999960000000005,7.36934713300741,401.121,368.018,0,0
5.8,8.642653407809938,401.912,367.27,0,0
5.899999,8.012562192956842,401.57,367.705,0,0
5.999998,8.17887464916653,401.19,367.155,0,0
6.100002000000001,7.687858686544229,400.647,367.232,0,0
6.200003,5.9255345573855704,399.949,368.675,0,0
6.3,6.162808045282372,398.767,367.273,0,0
6.4000010000000005,5.741141084419012,398.28,367.321,0,0
6.4999970000000005,5.466817394588286,397.851,367.249,0,0
6.599997,4.833581710963586,397.899,368.061,0,0
6.699999,6.112783075162688,398.83,367.44,0,0
6.800002999999999,6.580165648659321,398.483,366.563,0,0
6.900002000000001,6.222680210107728,399.334,367.815,0,0
6.9999970000000005,7.006145681700885,399.51,367.062,0,0
7.1,6.26409365189946,399.387,367.84,0,0
7.199997000000001,6.358568325325308,400.416,368.724,0,0
7.3,6.821765606559363,400.534,368.297,0,0
7.400002000000001,7.286975387733567,400.364,367.592,0,0
7.500001,6.507781821673379,399.759,367.953,0,0
7.600003,6.429582293781347,399.224,367.546,0,0
7.700001,6.762306276565988,398.864,366.817,0,0
7.8,6.94705402474115,398.975,366.715,0,0
7.899997,7.542761068621251,399.841,366.846,0,0
8.0,8.042464137629674,399.902,366.321,0,0
8.099999,6.017310509997196,397.488,366.435,0,0
8.200003,7.530767208011116,400.186,367.226,0,0
8.3,7.321127694423279,399.293,366.633,0,0
8.399998,6.284622529368249,398.654,367.268,0,0
8.5,6.123790577186837,398.339,367.17,0,0
8.599998,5.96304662776402,398.347,367.381,0,0
8.700003,5.203341000314359,398.296,368.249,0,0
8.799998,5.8633996188958815,397.916,367.111,0,0
8.899996999999999,5.586522838992561,397.932,367.468,0,0
9.0,6.537661569440975,399.046,367.413,0,0
9.100002,6.281198085254417,399.845,368.495,0,0
9.200001,8.426523380138576,400.809,366.874,0,0
9.300003,7.877868402428259,399.355,366.148,0,0
9.400003,6.932201769520932,398.596,366.56,0,0
9.500003000000001,6.949535063931523,398.207,366.179,0,0
9.600003000000001,7.473761036684998,398.404,365.755,0,0
9.7,7.011665797612711,397.738,365.68,0,0
9.799997,7.876408729987152,398.502,365.393,0,0
9.9,6.012614192422345,396.387,365.601,0,0
10.000001000000001,6.8487508336616925,396.386,364.616,0,0
10.099998,8.122039355486393,397.879,364.54,0,0
10.200002,8.210490722185686,398.055,364.615,0,0
10.300001,8.508000283654706,397.301,363.551,0,0
10.399996999999999,7.306817606556886,397.411,365.099,0,0
10.499996999999999,7.864137054962905,397.506,364.538,0,0
10.600001,6.874823097010527,397.84,366.048,0,0
10.700001,6.055868874272436,396.642,365.889,0,0
10.800002000000001,5.063604108663573,396.105,366.569,0,0
10.900002,3.8403934996631817,394.385,366.392,0,0
10.999996999999999,4.334639672341726,394.739,366.154,0,0
11.1,4.586534060383805,394.249,365.397,0,0
11.2,3.542147477028488,394.272,366.675,0,0
