Time,Position
10468.802,733;218
10501.684,734;216
10534.6,734;215
10569.011,733;215
10601.9,733;215
10634.841,734;215
10670.233,747;216
10702.118,735;214
10735.011,736;215
10769.438,736;215
10801.34,737;215
10835.229,737;214
10870.345,737;214
10901.233,738;214
10935.139,738;215
10968.171,738;215
11002.067,738;215
11035.099,739;215
11070.152,739;215
11102.036,739;215
11134.95,739;215
11169.353,739;216
11201.325,739;216
11235.387,739;216
11268.81,739;216
11301.692,739;216
11334.593,739;215
11368.694,739;215
11401.584,739;216
11434.673,739;216
11470.635,739;216
11501.523,739;216
11536.632,739;216
11569.223,739;216
11602.11,739;215
11636.018,740;216
11670.429,740;216
11702.319,740;216
11735.079,740;216
11768.604,740;216
11801.494,740;216
11835.481,740;216
11869.903,740;215
11901.794,740;215
11934.701,740;215
11968.205,740;216
12002.009,740;215
12035.92,740;216
12069.342,740;216
12102.223,740;216
12135.124,740;216
12170.462,740;216
12202.353,740;216
12235.245,740;216
12269.668,740;216
12301.568,740;216
12335.458,740;216
12369.879,741;216
12401.764,741;216
12435.676,742;216
12472.19,742;216
12502.087,742;215
12536.119,743;215
12571.55,743;215
12602.431,743;215
12634.831,743;214
12669.502,743;214
12702.39,744;214
12735.296,744;215
12771.262,744;215
12802.155,744;215
12835.218,745;215
12869.264,745;215
12902.154,745;215
12936.05,745;215
12968.457,745;215
13002.347,745;214
13035.244,744;215
13071.646,744;215
13102.534,744;215
13135.492,745;215
13169.908,744;215
13201.883,745;215
13235.191,745;215
13269.171,744;215
13302.141,745;215
13336.96,744;215
13370.585,745;215
13402.558,744;215
13436.518,744;215
13469.544,745;215
13502.442,744;215
13535.315,745;215
13569.734,744;215
13601.619,745;215
13635.516,745;215
13669.935,745;215
13701.82,745;215
13735.719,745;215
13768.644,745;215
13802.523,744;215
13835.438,744;215
13871.478,745;215
13902.363,744;215
13935.262,745;215
13968.701,744;215
14002.588,745;215
14036.493,745;215
14071.891,744;215
14102.229,745;215
14135.26,745;215
14169.683,745;215
14202.573,745;215
14235.463,744;215
14270.886,745;215
14302.848,745;215
14335.747,745;215
14370.72,744;214
14402.612,743;214
14436.508,742;214
14470.051,742;214
14502.932,742;215
14535.831,756;214
14571.254,743;215
14603.138,744;215
14636.036,744;215
14671.45,744;214
14702.356,744;214
14736.296,744;215
14770.698,743;215
14802.589,757;215
14836.655,757;215
14870.013,757;215
14902.178,757;215
14935.075,758;215
14969.487,758;215
15002.376,745;215
15035.274,745;215
15070.709,759;215
15102.604,759;215
15135.343,759;215
15169.282,759;215
15202.352,745;215
