Time,Fluorescence_Corrected_Z,Speed,Events,UV,Fluorescence,Fluorescence_Debleached,UV_Debleached,Fluorescence_Corrected,UV_Fitted_to_Fluo,Fluorescence_Corrected_BP
100.096187,2.3486286602133157,1.329669689533608,,773.549,756.683,-44.02598690004697,-4.15992088674534,-41.81752873824252,-2.208458161804453,-11.412338621060222
100.19685000000001,4.470495241906913,1.2834047520110219,,771.885,770.764,-29.837642564558678,-5.81302448973986,-26.751566848386858,-3.086075716171818,3.108874636477516
100.29751700000001,5.910966409381441,9.063343294662786,,771.522,779.905,-20.589665038093017,-6.165132316993436,-17.31665850302508,-3.273006535067937,12.96688795112074
100.39819899999999,6.515220129074446,13.010689383556091,,771.507,784.491,-15.897041417651735,-6.169243177633575,-12.621852464340435,-3.2751889533113,17.102160734539137
100.49887799999999,5.8873959450616224,10.883260921999938,,769.936,778.822,-21.459789517682452,-7.729359017269871,-17.356349361463373,-4.1034401562190785,12.805581042420538
100.59957399999999,5.0527320134019496,8.956019589978188,,771.454,774.39,-25.785886998310843,-6.200477672732404,-22.49411593777355,-3.291771060537295,7.093472159339395
100.70027099999999,4.3810177216885275,14.12305003499799,,773.638,770.4,-29.67034948009234,-4.005600872260629,-27.543818399843257,-2.1265310802490833,2.496525978905588
100.80097599999999,3.585435139220696,17.139479821419098,,773.602,765.426,-34.53916837475663,-4.0307278583833295,-32.3992976078299,-2.1398707669267245,-2.948125651724716
100.90109,3.252972284293,13.16065144169508,,771.719,761.585,-38.27596486238599,-5.90292326223107,-35.142162711699456,-3.1338021506865372,-5.2233695611516495
101.001205,4.106619382394057,7.468522488883962,,774.311,769.309,-30.448118306835454,-3.300123150778063,-28.696118884170716,-1.751999422664738,0.6186525834780348
101.101332,6.01708969413553,15.079871984607168,,774.757,782.04,-17.613616102867127,-2.84332633631891,-16.104125923072736,-1.5094901797943903,13.6931536187173
101.201463,5.579567839143419,28.66488689934026,,774.199,779.271,-20.2794653449605,-3.390533680651288,-18.479467800476495,-1.799997544484003,10.698927583966828
101.30160000000001,5.399779019504907,6.430991294317236,,772.091,776.327,-23.120662769577166,-5.487744966940568,-20.207274971311872,-2.913387798265293,9.46852421468052
101.40174499999999,5.359707678608088,3.294956372099706,,769.784,775.365,-23.980205145485684,-7.78395997871894,-19.847777839177382,-4.132427306308302,9.194291851675985
101.50189200000001,5.968509456598815,9.672754061179901,,769.112,778.566,-20.677097416106562,-8.44517936088539,-16.19363479898892,-4.483462617117642,13.36068974211982
101.602053,4.700165006374078,15.553166082254831,,775.412,773.783,-25.358326186851627,-2.134401820813082,-24.225197536003318,-1.1331286508483085,4.680643407148398
101.70221000000001,4.512305350070491,30.534920512560497,,772.039,770.084,-28.955908559973636,-5.496629294078275,-26.037804153843798,-2.91810440612984,3.39500643298258
101.80237600000001,4.917039969522434,15.193662302902887,,774.434,774.693,-24.245830162534276,-3.090860380841491,-22.604926426818132,-1.6409037357161422,6.164849632586126
101.90255499999999,6.093222283170234,12.501937351482924,,770.456,779.994,-18.844085841380547,-7.058094650620433,-15.097013786184107,-3.7470720551964405,14.214174860467104
102.002729,7.152220435156045,4.390395117878025,,776.642,791.108,-7.629692512490919,-0.8613340363851876,-7.17242388244809,-0.45726863004282947,21.46153816643435
102.102918,6.7869147638105,14.115678673448317,,773.786,786.442,-12.195628960699196,-3.7065763884885428,-10.227847238729076,-1.9677817219701197,18.961531048379516
102.20310400000001,5.674506400751663,5.065582677400395,,771.52,778.223,-20.314912006497707,-5.961823638529381,-17.149840185776814,-3.165071820720892,11.348649442716695
102.303302,4.956897145476473,4.304884514020482,,778.675,776.448,-21.990525551510927,1.203925824740395,-22.62968445642165,0.639158904910723,6.437616335669716
102.403506,4.180719091888378,5.483463717390639,,779.188,772.019,-26.320474428577086,1.7276713583410128,-27.237685037855748,0.9172106092786607,1.1257616039847775
102.50372,4.548587706964343,4.142962987950811,,775.462,771.884,-26.356753558572564,-1.987586607930666,-25.30156775888034,-1.0551857996922234,3.6433084923520127
102.603932,4.051898129670036,21.431638371295826,,774.147,768.41,-29.732373600735855,-3.291849358967852,-27.98476665832503,-1.7476069424108271,0.24416203474103781
102.704151,4.291977246747468,8.543927407514603,,773.481,769.014,-29.030324546354223,-3.947115928859944,-26.934842586621027,-2.0954819597331964,1.8871682858598895
102.80438099999999,4.744347678810074,9.090151063426488,,775.301,773.711,-24.23560137836637,-2.116385888494392,-23.112037220894358,-1.1235641574720099,4.983012092468346
102.904613,4.919813897171101,17.28565379162674,,772.919,772.952,-24.897211746547214,-4.487660200303708,-22.514759786462903,-2.3824519600843104,6.183833293149334
103.004848,4.335991298540545,3.979835358267963,,775.611,771.031,-26.721153517819516,-1.7849387556774445,-25.773551605894585,-0.9476019119249296,2.188382998382224
103.105093,5.024396325307959,13.742653232440647,,776.03,775.261,-22.394418796485525,-1.355220804819055,-21.674950206886518,-0.7194685895990055,6.899553949230484
103.205344,5.978372394255744,5.50151214383931,,775.716,782.277,-15.282010343606771,-1.658506774549096,-14.40153001188449,-0.8804803317222822,13.42818777535986
103.305604,5.81208351798393,18.28860745367838,,773.541,779.274,-18.188924173938517,-3.8227963433331524,-16.159442342940356,-2.0294818309981624,12.290172663791449
103.405867,5.2688109934913,15.043105905788737,,773.264,776.07,-21.29716492633895,-4.089090151007895,-19.126310153069454,-2.1708547732694976,8.572230992443917
103.506133,4.759152929467888,3.9705670300114804,,773.795,772.149,-25.12273146365328,-3.5473881960415383,-23.239461294308434,-1.8832701693448457,5.084333355543151
