Time,Fluorescence_Corrected_Z,Speed,Events,UV,Fluorescence,Fluorescence_Debleached,UV_Debleached,Fluorescence_Corrected,UV_Fitted_to_Fluo,Fluorescence_Corrected_BP
100.09666899999999,4.890923207346869,2.499179944779912,,2545.987,2594.073,-165.09910015888727,-36.45149475862763,-143.92052944362428,-21.17857071526299,26.866513840590727
100.196663,5.060706285960996,6.897684048479652,,2545.032,2599.075,-160.00575484640694,-37.344782725891946,-138.30817782060188,-21.69757702580506,32.42559007570921
100.296663,4.671703963029881,4.365442752195318,,2540.812,2584.572,-174.41745655515842,-41.50308424640389,-150.30387840835786,-24.113578146800574,19.688787406892942
100.39665600000001,4.0795017935200395,11.54591574754476,,2550.379,2570.803,-188.09521712296055,-31.874407335881642,-169.5759649515071,-18.51925217145346,0.2987690742070015
100.496655,4.216396256408529,1.122020906761149,,2553.36,2577.637,-181.17002465691166,-28.83174397068342,-164.41858034279363,-16.751444314118025,4.7809987614909915
100.596651,4.895272890323484,5.4911074440200345,,2553.294,2599.957,-158.7588873366385,-28.836099696522524,-142.004912316544,-16.75397502009452,27.00893215143165
100.696648,5.812018364635561,2.657694687977166,,2559.576,2634.174,-124.45080148480656,-22.492472042190002,-111.38251675158635,-13.068284733220215,57.02522129814449
100.796645,5.80649002337923,5.7841567542190315,,2567.004,2638.51,-120.02376798298383,-15.002861619420855,-111.3069972243929,-8.716770758590926,56.84421108942081
100.89664,5.360009782255196,12.644971178341638,,2566.687,2624.186,-134.25678862023824,-15.258269655125332,-125.39162407694232,-8.865164543295915,42.22545333015327
100.996638,4.850984673657466,1.518105566641395,,2564.473,2606.508,-151.8438588180893,-17.410693064992756,-141.72812181258857,-10.115737005500739,25.558837272875536
101.096633,5.307072593576607,4.251147569057811,,2576.513,2628.841,-129.41998400238208,-5.309135538877854,-126.33533322395364,-3.0846507784284434,40.492171839799596
101.196629,5.106394873724096,5.974197703378724,,2585.629,2627.918,-130.2521605063398,3.868405390974658,-132.49972266752908,2.2475621611892915,33.92153622371859
101.29661999999999,4.908490679661859,8.214786878045109,,2573.389,2614.654,-143.4253937464423,-8.31007396219411,-138.59717758224116,-4.828216164201137,27.44171202084823
101.396619,5.107639534062852,4.046225059119159,,2565.721,2617.149,-140.83967189429768,-15.916565595943666,-131.59203298662038,-9.247638907677285,33.96228917605316
101.496615,6.415834168052893,8.902190684954636,,2569.14,2662.217,-95.68100490333836,-12.436076272741957,-88.45555367613332,-7.225451227205042,76.79549587771606
101.596612,10.957481117107434,3.1479248940367652,,2561.611,2807.056,49.24861088478974,-19.903603527593077,60.81274561769778,-11.56413473290804,225.4991348320331
101.696611,11.935514839869606,2.360758584245715,,2564.744,2841.067,83.35017640387787,-16.709146741717177,93.05831028221158,-9.70813387833371,257.5221377704383
101.796601,10.884570466984599,5.786649480052902,,2561.983,2805.644,48.017681727016225,-19.40871266881868,59.294281546048616,-11.276599819032391,223.111877717288
101.896603,9.952824959337365,6.61434242386485,,2552.704,2769.831,12.295145889796913,-28.62628840241996,28.927219138399185,-16.63207324860227,192.60445406223607
101.996594,8.8667259734268,2.1019311737658573,,2553.182,2735.222,-22.223451885006398,-28.08688806527516,-5.90477385625022,-16.318678028756178,157.04315366148248
102.096596,9.047009758027285,22.94685793200351,,2554.845,2742.093,-15.262091677233002,-26.362498143291305,0.054704221524708885,-15.31679589875771,162.9460464039774
102.196591,8.155418450947431,2.0271863006874904,,2567.429,2720.971,-36.29378972464883,-13.717129682662744,-28.32403785951345,-7.969751865135383,133.7533607306865
102.296588,8.231612128852884,7.0783473242644535,,2560.869,2719.571,-37.603537865930775,-20.215777153866384,-25.858028158817234,-11.74550970711354,136.24811148893568
102.396584,9.122174594905749,1.9427820691694038,,2562.567,2750.562,-6.522338779666825,-18.456442392992358,4.200985611275913,-10.723324390942738,165.40711061495975
102.496581,9.611657407684593,2.2552270209371517,,2562.032,2766.108,9.113809368009697,-18.930124168499788,20.1123460529566,-10.998536684946902,181.43386837096753
102.59657000000001,12.170810379915913,4.745725526447649,,2562.345,2851.015,94.11089849875361,-18.55582799259946,104.89196659079093,-10.781068092037316,265.2262379409483
102.696572,13.582303629587875,2.531622559527741,,2564.359,2898.143,141.32894755925736,-16.480540988170105,150.90425995889086,-9.575312399633495,311.4416714478108
102.79656600000001,12.432287157212695,3.175368133774857,,2565.686,2862.281,105.55693766547165,-15.09227602171768,114.32565879252832,-8.768721127056672,273.78757014537535
102.896561,11.008539509087466,1.973500771649229,,2568.901,2817.186,60.55187695216864,-11.816027572475832,67.4170757187175,-6.86519876654886,227.17090033290873
102.99656,9.631574690450863,1.438471190642772,,2569.024,2773.283,16.73876814350797,-11.631793799392199,23.496925850119336,-6.7581577066113665,182.08600458028764
103.09655599999999,8.532356305896585,2.361344181208434,,2564.022,2733.95,-22.504395024022415,-16.57257898434318,-12.875607930254438,-9.628787093767977,146.09514584065462
103.19654700000001,7.938835776452772,1.855621976273388,,2563.374,2715.341,-41.02361431134295,-17.159384344833143,-31.053889360674358,-9.969724950668596,126.6619614666995
103.296544,7.780002400448332,3.036846448893567,,2549.629,2701.628,-54.646879812786665,-30.843203144315794,-36.726764204785596,-17.920115608001073,121.46140288867602
103.39653999999999,7.243803278325807,6.8442935272306045,,2549.174,2685.099,-71.08619778417187,-31.237039662104053,-52.9372605133424,-18.14893727082947,103.90504909056133
103.496538,7.103433647863506,3.764024939882232,,2537.21,2672.934,-83.16156550606138,-43.13989205869257,-58.09699102341626,-25.06457448264512,99.3090346749621
