Item1,Item2,Item3,Item4,Item5
45287.378316800001,False,NaN,NaN,False
45287.874393599996,False,NaN,NaN,False
45288.369766399999,False,NaN,NaN,False
45288.500057599995,False,NaN,NaN,False
45288.533375999999,True,567.386719,186.240479,False
45288.580275199995,True,576.772644,196.021286,False
45288.615270399998,False,280.877441,314.329498,False
45288.6451456,False,384.987854,314.507324,False
45288.708275199999,True,428.619507,79.8680725,False
45288.739878399996,False,365,314.5,False
45288.771276799998,True,447.6315,295.082092,False
45288.8029952,True,463.058807,318.239227,False
45288.853785599997,True,580.915161,215.285553,False
45288.883123200001,True,580.694153,215.054932,False
45288.9154432,True,581.020569,215.918579,False
45288.9475456,True,580.786133,215.345657,False
45288.979584000001,True,581.659302,216.162979,False
45289.011584,True,581.098999,215.552109,False
45289.044057599996,True,584.682861,217.005234,False
45289.076979199999,True,576.692627,208.742569,False
45289.123865599999,True,576.783569,209.105484,False
45289.155238399995,True,577.07666,208.887054,False
45289.187289599999,True,576.500427,209.030823,False
45289.219891199995,True,576.46283,209.337402,False
45289.252134399998,True,578.232727,210.863449,False
45289.283443199995,True,577.291809,209.766815,False
45289.314995199995,True,578.078735,210.844772,False
45289.347788799998,True,577.691528,210.632553,False
45289.396543999996,True,578.006531,211.008209,False
45289.427391999998,True,577.765503,210.665573,False
45289.460415999994,True,578.432861,211.740463,False
45289.491263999997,True,578.635376,212.006973,False
45289.525491199995,True,578.689514,211.942673,False
45289.555519999994,True,578.396423,211.836639,False
45289.587494399995,True,578.761047,212.257126,False
45289.635852799998,True,579.028198,212.577591,False
45289.667609600001,True,579.096252,212.422684,False
45289.699135999996,True,579.151367,212.555496,False
45289.731801599999,True,579.579285,213.54866,False
45289.764057599998,True,579.313171,213.358032,False
45289.795443199997,True,579.119873,212.57518,False
45289.827596799994,True,578.210999,210.974716,False
45289.859468800001,True,579.442078,210.867828,False
45289.9085184,True,580.677429,211.003815,False
45289.940031999999,True,582.433289,211.3871,False
45289.972249599996,True,583.707642,212.063004,False
45290.003084799995,True,583.674133,212.984802,False
45290.035327999998,True,581.097656,214.122864,False
45290.067174399999,True,578.287476,216.112167,False
45290.099071999997,True,575.853943,221.531784,False
45290.131878399996,True,573.724304,228.514709,False
45290.179187199996,True,575.192444,237.830231,False
45290.212185600001,True,577.510071,245.325378,False
45290.244300799997,True,578.928467,250.148285,False
45290.274636800001,True,578.831238,256.064514,False
45290.307340799998,True,577.169556,262.097626,False
45290.340761599997,True,576.596008,265.775574,False
45290.370956799998,True,577.735962,268.781036,False
45290.419238399998,True,578.466858,271.90625,False
45290.451417600001,True,576.890076,272.975952,False
45290.483084799998,True,575.950439,271.282654,False
45290.515084799998,True,575.605835,267.93222,False
45290.547443199997,True,572.153198,264.858429,False
45290.579251199997,True,566.060669,262.600647,False
45290.612006399999,True,559.433777,263.443024,False
45290.643699199994,True,553.625549,268.127289,False
45290.691264000001,True,550.118042,273.547974,False
45290.724467200002,True,545.171326,281.322937,False
45290.755903999998,True,541.39563,288.178284,False
45290.788313599995,True,535.971863,290.54892,False
45290.819763200001,True,528.672791,288.495667,False
45290.851775999996,True,524.706116,285.141083,False
45290.884774400001,True,518.276794,281.509155,False
45290.915404799998,True,512.975098,278.430878,False
45290.966092800001,True,507.904266,279.289673,False
45290.996275199999,True,504.777466,279.994476,False
45291.029516800001,True,497.893341,278.703522,False
45291.061465599996,True,487.324677,278.147034,False
45291.093644799999,True,476.508636,278.362152,False
45291.123891199997,True,465.592896,276.950897,False
45291.155788799995,True,455.094238,275.127655,False
45291.188697599995,True,449.941376,270.995575,False
45291.2356096,True,443.267303,266.901611,False
45291.267648000001,True,431.350311,263.257782,False
45291.300620800001,True,417.598633,259.414948,False
45291.3320704,True,400.401001,256.018799,False
45291.364377599995,False,383.875275,255.636963,False
45291.397990400001,False,371.651917,259.929749,False
45291.429593599998,False,363.051514,263.035828,False
45291.477644799998,False,354.063416,263.753967,False
45291.509119999995,False,346.83847,262.496094,False
45291.542630399999,False,342.456116,257.977844,False
45291.572710399996,False,338.962524,253.805954,False
45291.605068799996,False,337.964325,252.270172,False
45291.636992,False,337.234741,252.29007,False
45291.670604799998,False,338.454529,252.686081,False
45291.701068800001,False,338.710846,252.700073,False
45291.750182399999,False,338.884918,253.273071,False
