File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,Distance_px,Distance_cm
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,0,299.77213428331675,537.6967523701808,0.0,0.0
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,1,296.97448326835763,544.2906655769582,7.162858548094844,0.31702395921578996
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,2,295.2798417912823,546.6595385253306,2.9126223204107164,0.1289109722769106
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,3,291.2518767605771,545.6179225287752,4.160464658288079,0.18413974941591865
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,4,286.33657947387,544.5678648191622,5.026208174183368,0.22245705461350948
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,5,286.44347648905955,544.1443070222809,0.4368388480381905,0.01933423370215327
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,6,278.8484654731458,565.9852941176471,23.123860180164588,1.0234486214470837
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,7,276.2605379499063,573.713029586454,8.149556082474515,0.36069461902250927
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,8,277.6874726379648,572.3089227897489,2.001913709563485,0.08860353809206362
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,9,278.16016699851934,571.1763954416592,1.227215609691724,0.054315850129327214
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,10,277.6002799642013,578.5242475005928,7.36915214737566,0.3261543941065187
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,11,277.6002799642013,578.5242475005928,0.0,0.0
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,12,284.13489359520247,566.5890626755731,13.606976597093308,0.6022368813794979
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,13,289.14459286458805,555.8656595866149,11.835897117580942,0.5238499322430822
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,14,292.56824749205185,547.9860479081444,8.591256672434072,0.38024403059844686
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,15,281.52191180165505,552.8438009093783,12.06728206374288,0.5340908955739441
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,16,278.487018258905,554.8738175585634,3.6512390241936656,0.16160171860450182
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,17,278.487018258905,554.8738175585634,0.0,0.0
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,18,273.21575318518103,550.0450011088445,7.148685458357861,0.3163966664956323
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,19,273.5832742132752,542.7924420489675,7.261865092598196,0.3214059313734106
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,20,273.5832742132752,542.7924420489675,0.0,0.0
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,21,270.75420806656916,534.85384488731,8.42762956931041,0.37300199004732204
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,22,269.1648037994979,522.2430933321008,12.710517720037787,0.5625601321361566
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,23,267.7428570408085,520.728079120361,2.077787440120101,0.09196166533972905
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,24,262.5332745924521,511.6295778859104,10.484391923212456,0.46403309728221825
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,25,264.33776040366894,517.527773976297,6.16805367709577,0.272994473398963
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,26,264.37950104064237,517.8448272243024,0.3197890599219183,0.014153678061575988
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,27,256.71222362094545,507.76566477796473,12.663990628954936,0.5605008701073396
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,28,253.56552530369518,504.57804826689835,4.479130420227645,0.19824371096119695
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,29,253.56552530369518,504.57804826689835,0.0,0.0
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,30,247.94725716492727,498.14453613299503,8.54137080661974,0.37803611115076025
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,31,249.35390952110544,491.58652280901003,6.707175978659447,0.2968557133488578
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,32,255.0908076903957,484.88175146649434,8.824169046444306,0.39055259699875816
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,33,252.14296773305657,497.45062475270805,12.909931684520334,0.5713860783863431
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,34,251.3248177637357,499.5241697271597,2.229115998187034,0.09865937942952575
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,35,251.3248177637357,499.5241697271597,0.0,0.0
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,36,250.92959698607623,498.25620088195467,1.328135706734932,0.05878251501098808
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,37,252.6536982671116,490.75685223342634,7.694982480776119,0.3405754554235384
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,38,254.92034560678704,483.09132902716084,7.993618466517698,0.35379291070740504
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,39,258.74336810886433,476.2346358001079,7.850461327928611,0.3474568588978119
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,40,264.6928696022839,467.5317415714582,10.542150443589117,0.4665894558484676
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,41,265.4287614716655,463.7208105271822,3.8813312494102483,0.17178546685712281
570M3NAc.mp4,99.0,True,0.9,100.0,0.0,42,272.0644319092968,451.72020284432193,13.713012320959205,0.6069299609332216
