Time,Events,CH1-410,CH1-470
17799.958,,1634.789,1144.48
17899.956,,1633.773,1144.307
17999.952,,1633.821,1148.031
18099.951,,1632.357,1152.073
18199.951,,1631.143,1152.089
18299.945,,1632.071,1151.238
18399.944,,1631.675,1148.282
18499.94,,1631.328,1145.213
18599.943,,1631.181,1143.306
18699.936,,1632.652,1143.719
18799.933,,1631.911,1142.602
18899.936,,1630.086,1139.787
18999.928,,1631.025,1138.362
19099.931,,1629.823,1137.129
19199.929,,1628.265,1138.089
19299.922,,1629.942,1136.894
19399.919,,1629.564,1134.943
19499.917,,1628.546,1133.878
19599.917,,1627.108,1133.165
19699.912,,1625.858,1133.614
19799.908,,1626.04,1131.896
19899.908,,1625.39,1130.515
19999.902,,1621.773,1129.706
20099.904,,1624.939,1130.778
20199.897,,1627.966,1130.473
20299.896,,1626.99,1131.08
20399.891,,1626.858,1131.547
20499.891,,1625.707,1132.288
20599.889,,1626.822,1134.688
20699.885,,1625.204,1134.126
20799.881,,1624.496,1134.784
20899.881,,1625.359,1133.3
20999.875,,1624.78,1133.3
21099.87,,1624.718,1134.577
21199.872,,1625.124,1138.216
21299.87,,1624.815,1139.623
21399.865,,1623.08,1139.269
21499.865,,1622.866,1140.116
21599.86,,1621.621,1137.906
21699.856,,1620.959,1136.008
21799.855,,1619.859,1133.314
21899.85,,1618.908,1131.393
21999.846,,1619.425,1130.805
22099.843,,1619.02,1132.839
22199.841,,1618.95,1134.61
22299.835,,1618.227,1137.233
22399.834,,1618.793,1138.84
22499.832,,1618.802,1139.443
22599.827,,1618.091,1141.273
22699.822,,1618.857,1142.334
22799.817,,1619.202,1141.285
22899.813,,1617.76,1141.312
22999.816,,1617.755,1143.189
23099.807,,1615.883,1142.262
23199.803,,1616.851,1140.212
23299.804,,1617.82,1139.593
23399.801,,1618.715,1138.009
23499.792,,1617.951,1138.009
23599.789,,1617.008,1136.074
23699.787,,1615.24,1134.002
23799.782,,1615.112,1131.414
23899.78,,1615.318,1130.302
23999.778,,1615.21,1129.136
24099.773,,1614.092,1127.831
24199.765,,1615.153,1127.901
24299.764,,1614.031,1127.108
24399.756,,1613.247,1125.794
24499.751,,1613.958,1124.145
24599.751,,1614.239,1128.345
24699.747,,1614.777,1135.466
24799.741,,1614.007,1139.353
24899.738,,1614.564,1137.559
24999.73,,1612.815,1136.259
25099.727,,1612.026,1133.274
25199.722,,1609.995,1131.255
25299.713,,1610.246,1130.042
25399.712,,1610.032,1128.096
25499.71,,1610.316,1127.323
25599.7,,1610.79,1127.017
25699.693,,1609.248,1131.66
25799.689,,1610.551,1138.3
25899.683,,1609.209,1138.626
25999.681,,1609.868,1137.13
26099.678,,1610.204,1134.956
26199.668,,1610.816,1131.903
26299.663,,1608.467,1130.642
26399.658,,1608.062,1130.312
26499.653,,1607.526,1129.456
26599.647,,1608.329,1130.309
26699.645,,1607.256,1130.086
26799.642,,1606.581,1127.595
26899.636,,1607.301,1126.057
26999.626,,1605.839,1125.411
27099.625,,1606.026,1123.666
27199.615,,1605.529,1122.78
27299.61,,1604.737,1121.78
27399.606,,1604.312,1123.295
27499.6,,1604.883,1125.216
27599.598,,1603.785,1122.909
27699.592,,1605.514,1122.042
27799.584,,1605.252,1120.74
27899.576,,1605.692,1120.194
27999.577,,1603.239,1126.132
28099.569,,1604.716,1141.777
28199.56,,1603.679,1147.51
28299.558,,1602.666,1147.831
28399.548,,1600.356,1143.914
28499.542,,1601.699,1140.731
28599.536,,1602.158,1136.265
28699.534,,1600.414,1133.543
28799.525,,1600.661,1130.964
28899.519,,1600.513,1128.601
28999.514,,1601.101,1127.767
29099.512,,1600.826,1125.224
29199.502,,1600.412,1123.898
29299.498,,1600.901,1123.416
29399.491,,1600.472,1122.679
29499.486,,1600.348,1124.274
29599.479,,1601.217,1122.982
29699.476,,1600.951,1122.456
