Time,Events,CH1-410,CH1-470
17699.806,,2623.272,3055.88
17799.793,,2626.229,3033.456
17899.786,,2636.11,3047.147
17999.774,,2631.026,3006.199
18099.761,,2630.148,2984.004
18199.749,,2617.905,2946.032
18299.735,,2621.008,2964.67
18399.72,,2631.015,3004.668
18499.707,,2627.912,2970.22
18599.696,,2630.666,2927.014
18699.683,,2620.551,2892.916
18799.667,,2621.649,2869.95
18899.657,,2617.016,2879.121
18999.647,,2616.078,2884.928
19099.63,,2626.508,2856.278
19199.619,,2632.046,2822.297
19299.603,,2635.802,2813.646
19399.593,,2633.314,2804.622
19499.575,,2623.066,2814.309
19599.565,,2624.688,2896.365
19699.552,,2619.59,3030.58
19799.535,,2615.268,3028.401
19899.519,,2607.062,3006.132
19999.507,,2608.887,2992.506
20099.492,,2616.124,2996.476
20199.477,,2613.176,2965.967
20299.461,,2610.319,2912.852
20399.449,,2615.889,2878.956
20499.429,,2620.178,2840.699
20599.416,,2618.447,2839.808
20699.401,,2621.982,2845.393
20799.387,,2622.027,2845.757
20899.368,,2625.524,2835.769
20999.357,,2624.128,2797.987
21099.337,,2621.21,2768.527
21199.322,,2614.453,2733.026
21299.305,,2618.752,2711.392
21399.29,,2625.85,2682.868
21499.273,,2624.518,2718.724
21599.254,,2620.466,2729.847
21699.24,,2623.186,2716.165
21799.228,,2616.777,2701.958
21899.207,,2616.275,2713.085
21999.193,,2612.604,2746.884
22099.172,,2621.313,2728.829
22199.156,,2619.579,2702.66
22299.14,,2628.307,2728.482
22399.119,,2616.58,2738.534
22499.105,,2620.567,2706.653
22599.088,,2611.229,2682.752
22699.068,,2617.121,2733.336
22799.054,,2609.826,2715.915
22899.035,,2608.501,2686.032
22999.014,,2611.071,2663.751
23099,,2610.095,2700.279
23198.981,,2608.881,2772.691
23298.964,,2611.422,2810.616
23398.941,,2611.981,2789.988
23498.923,,2617.324,2842.504
23598.906,,2616.489,2973.071
23698.887,,2612.122,3037.484
23798.866,,2611.791,3016.971
23898.85,,2613.582,2965.005
23998.844,,2610.011,2921.319
24098.843,,2612.695,2914.878
24198.846,,2607.401,2880.846
24298.841,,2602.64,2987.644
24398.838,,2605.371,3033.617
24498.837,,2617.857,3060.1
24598.837,,2611.712,3042.099
