File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,Distance_px,Distance_cm
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,0,71.08505623265108,912.9635418726939,0.0,0.0
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,1,73.30316384815733,910.77899394804,3.1132380296206676,0.11209181355298725
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,2,73.54743332659805,906.0732896110676,4.712039991882361,0.16965651299353213
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,3,73.79531103518684,902.9155212765786,3.167482314507314,0.11404487342504913
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,4,73.94581201077145,900.5024344673501,2.4177755256691045,0.08705175796317076
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,5,74.06063613823108,899.8467511387915,0.665661481232381,0.02396707284627281
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,6,76.25064812278515,899.2522603693933,2.269266790703597,0.08170471630674721
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,7,75.10153306923326,900.2058953470732,1.493279972729225,0.05376539111144326
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,8,77.0801856125533,901.3179341998409,2.2697348517506883,0.0817215687963811
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,9,76.24764711169999,898.4613340312195,2.975447004866823,0.10713066194523017
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,10,75.51166313880665,896.3367285121348,2.2484708181520285,0.08095595946396013
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,11,75.66900325112718,894.6235339430244,1.7204044706330424,0.0619429851887752
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,12,77.77293453015595,894.6593594178556,2.104236272741852,0.07576280956080694
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,13,78.03286797024357,895.1021475962249,0.513445970068272,0.01848656909585483
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,14,76.81700317738142,894.7787752000382,1.2581323066900425,0.04529892369446398
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,15,76.46487445071124,894.1401641457323,0.7292590203953996,0.026256895672045786
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,16,76.63065086323445,894.4881592913484,0.3854639286903965,0.013878588920947522
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,17,76.15861770311628,893.8425552181404,0.7997624169676368,0.028795363180227438
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,18,75.27474802144444,894.4798528404355,1.0896668635695814,0.039233342823128875
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,19,77.67980939508942,895.4313220890034,2.5864288008699456,0.09312410170915049
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,20,77.17034937285541,895.4570745101454,0.5101104796505864,0.018366475108035806
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,21,76.27780474150047,895.8224369507705,0.9644302110469286,0.034724210090261706
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,22,80.67921598286335,898.1584215401571,4.982895234444254,0.179408628013403
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,23,78.7000427893562,898.2213775623543,1.9801742323917337,0.07129596861783444
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,24,80.60188740072624,898.8791164601525,2.012370091080195,0.07245517718298392
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,25,78.68095368824783,898.8578925958507,1.9210509571981718,0.06916724120393793
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,26,77.96955932842799,897.6748183216399,1.3804878389478021,0.04970432198991151
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,27,76.86987297958332,897.5462737437949,1.1071737778364648,0.0398636774622476
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,28,78.68713308393505,898.4207655561262,2.0167226424828164,0.07261189034646852
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,29,77.13149241251023,898.8135803403526,1.6044691811617686,0.05776874707142539
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,30,75.88984586962374,899.5748630923745,1.4564468977576817,0.052439220053203776
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,31,75.64737355112592,898.9118973029427,0.7059153371294148,0.025416408768251415
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,32,75.47980909524291,898.1504622740999,0.7796545068324957,0.028071379953643543
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,33,74.77245617374965,898.0763141577332,0.7112285840050233,0.025607711672968363
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,34,75.04351962582432,898.7079188422226,0.6873135183594005,0.024746652205638386
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,35,75.7348940728221,898.4954762799907,0.7232775872437542,0.026041534789506528
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,36,75.90829719167488,897.1104504555759,1.395838520719283,0.050257021700845506
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,37,74.63121907193866,899.1827127893113,2.434173310125489,0.08764215849807336
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,38,73.65725636079974,901.7597538602429,2.754949009320761,0.09919165440054588
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,39,73.6789595026445,904.6599793907504,2.9003067344978812,0.10442524427514514
9881M2NAc.mp4,90.0,True,0.9,100.0,0.0,40,77.85317169250743,908.8543719780904,5.917514392270853,0.21305949421296366
